Tensao [V];Corrente [A]
-5;-2,106452E-09
-4,95;-2,015361E-09
-4,9;-1,999913E-09
-4,85;-1,970069E-09
-4,8;-1,95136E-09
-4,75;-1,936072E-09
-4,7;-1,918371E-09
-4,65;-1,90355E-09
-4,6;-1,893258E-09
-4,55;-1,87681E-09
-4,5;-1,86498E-09
-4,45;-1,852174E-09
-4,4;-1,841712E-09
-4,35;-1,829736E-09
-4,3;-1,819119E-09
-4,25;-1,807553E-09
-4,2;-1,795043E-09
-4,15;-1,785063E-09
-4,1;-1,774645E-09
-4,05;-1,762183E-09
-4;-1,748752E-09
-3,95;-1,73931E-09
-3,9;-1,727808E-09
-3,85;-1,711784E-09
-3,8;-1,702884E-09
-3,75;-1,691189E-09
-3,7;-1,681153E-09
-3,65;-1,670145E-09
-3,6;-1,659203E-09
-3,55;-1,650666E-09
-3,5;-1,641952E-09
-3,45;-1,628087E-09
-3,4;-1,613627E-09
-3,35;-1,606073E-09
-3,3;-1,590277E-09
-3,25;-1,57519E-09
-3,2;-1,563743E-09
-3,15;-1,551322E-09
-3,1;-1,537445E-09
-3,05;-1,525754E-09
-3;-1,51236E-09
-2,95;-1,497776E-09
-2,9;-1,485248E-09
-2,85;-1,470953E-09
-2,8;-1,45736E-09
-2,75;-1,441391E-09
-2,7;-1,424394E-09
-2,65;-1,406336E-09
-2,6;-1,389787E-09
-2,55;-1,370972E-09
-2,5;-1,35212E-09
-2,45;-1,334617E-09
-2,4;-1,316496E-09
-2,35;-1,299974E-09
-2,3;-1,281156E-09
-2,25;-1,262951E-09
-2,2;-1,24439E-09
-2,15;-1,223717E-09
-2,1;-1,203344E-09
-2,05;-1,180002E-09
-2;-1,159755E-09
-1,95;-1,137939E-09
-1,9;-1,109972E-09
-1,85;-1,084857E-09
-1,8;-1,058552E-09
-1,75;-1,027944E-09
-1,7;-9,936418E-10
-1,65;-9,531967E-10
-1,6;-9,007484E-10
-1,55;-8,321973E-10
-1,5;-7,450379E-10
-1,45;-6,29554E-10
-1,4;-4,750362E-10
-1,35;-2,666743E-10
-1,3;6,143655E-12
-1,25;3,583156E-10
-1,2;8,148042E-10
-1,15;1,403847E-09
-1,1;2,580169E-09
-1,05;3,23039E-09
-1;4,600128E-09
-0,95;6,532621E-09
-0,9;9,255741E-09
-0,85;1,309055E-08
-0,8;1,847273E-08
-0,75;2,971416E-08
-0,7;4,153311E-08
-0,65;5,757338E-08
-0,6;7,91558E-08
-0,55;1,081216E-07
-0,5;1,460972E-07
-0,45;1,947195E-07
-0,4;2,533439E-07
-0,35;3,185931E-07
-0,3;3,859378E-07
-0,25;4,54195E-07
-0,2;5,22876E-07
-0,15;5,922037E-07
-0,1;6,622653E-07
-0,05;7,331312E-07
0;8,052005E-07
0,05;8,781051E-07
0,1;9,517904E-07
0,15;1,026556E-06
0,2;1,102489E-06
0,25;1,179246E-06
0,3;1,257205E-06
0,35;1,336104E-06
0,4;1,416015E-06
0,45;1,497034E-06
0,5;1,579022E-06
0,55;1,662564E-06
0,6;1,746746E-06
0,65;1,831731E-06
0,7;1,917363E-06
0,75;2,003417E-06
0,8;2,090514E-06
0,85;2,176913E-06
0,9;2,263495E-06
0,95;2,349024E-06
1;2,434163E-06
1,05;2,518777E-06
1,1;2,601497E-06
1,15;2,68295E-06
1,2;2,762548E-06
1,25;2,840907E-06
1,3;2,917559E-06
1,35;2,991828E-06
1,4;3,064856E-06
1,45;3,136143E-06
1,5;3,205797E-06
1,55;3,273099E-06
1,6;3,33961E-06
1,65;3,403698E-06
1,7;3,466762E-06
1,75;3,527177E-06
1,8;3,585916E-06
1,85;3,643534E-06
1,9;3,698686E-06
1,95;3,752332E-06
2;3,803394E-06
2,05;3,853354E-06
2,1;3,901686E-06
2,15;3,94791E-06
2,2;3,992707E-06
2,25;4,036062E-06
2,3;4,077961E-06
2,35;4,118519E-06
2,4;4,157356E-06
2,45;4,195758E-06
2,5;4,232465E-06
2,55;4,268601E-06
2,6;4,302675E-06
2,65;4,336713E-06
2,7;4,369561E-06
2,75;4,40114E-06
2,8;4,432208E-06
2,85;4,462224E-06
2,9;4,491711E-06
2,95;4,519994E-06
3;4,5473E-06
3,05;4,573604E-06
3,1;4,600032E-06
3,15;4,625205E-06
3,2;4,649252E-06
3,25;4,673125E-06
3,3;4,695438E-06
3,35;4,71887E-06
3,4;4,74017E-06
3,45;4,761813E-06
3,5;4,782561E-06
3,55;4,802845E-06
3,6;4,822993E-06
3,65;4,84236E-06
3,7;4,862057E-06
3,75;4,878857E-06
3,8;4,899417E-06
3,85;4,916481E-06
3,9;4,934472E-06
3,95;4,95145E-06
4;4,968976E-06
4,05;4,986052E-06
4,1;5,002198E-06
4,15;5,018399E-06
4,2;5,034596E-06
4,25;5,050644E-06
4,3;5,065399E-06
4,35;5,080081E-06
4,4;5,095916E-06
4,45;5,109639E-06
4,5;5,124111E-06
4,55;5,137296E-06
4,6;5,151791E-06
4,65;5,165031E-06
4,7;5,178142E-06
4,75;5,191132E-06
4,8;5,203271E-06
4,85;5,21722E-06
4,9;5,229195E-06
4,95;5,240712E-06
5;5,253459E-06
