Tensao [V];Corrente [A]
-5;-2,053995E-09
-4,95;-1,997126E-09
-4,9;-1,963609E-09
-4,85;-1,94365E-09
-4,8;-1,926118E-09
-4,75;-1,911649E-09
-4,7;-1,899646E-09
-4,65;-1,885311E-09
-4,6;-1,871115E-09
-4,55;-1,859866E-09
-4,5;-1,849418E-09
-4,45;-1,835491E-09
-4,4;-1,823262E-09
-4,35;-1,813895E-09
-4,3;-1,802608E-09
-4,25;-1,789605E-09
-4,2;-1,778002E-09
-4,15;-1,766035E-09
-4,1;-1,756429E-09
-4,05;-1,743872E-09
-4;-1,731637E-09
-3,95;-1,721649E-09
-3,9;-1,711022E-09
-3,85;-1,701024E-09
-3,8;-1,689327E-09
-3,75;-1,67881E-09
-3,7;-1,669745E-09
-3,65;-1,654848E-09
-3,6;-1,642552E-09
-3,55;-1,631311E-09
-3,5;-1,619758E-09
-3,45;-1,609491E-09
-3,4;-1,595661E-09
-3,35;-1,586619E-09
-3,3;-1,574586E-09
-3,25;-1,56253E-09
-3,2;-1,549166E-09
-3,15;-1,536106E-09
-3,1;-1,525659E-09
-3,05;-1,513523E-09
-3;-1,496814E-09
-2,95;-1,483181E-09
-2,9;-1,470385E-09
-2,85;-1,456138E-09
-2,8;-1,43829E-09
-2,75;-1,423696E-09
-2,7;-1,40978E-09
-2,65;-1,392893E-09
-2,6;-1,375317E-09
-2,55;-1,358448E-09
-2,5;-1,341677E-09
-2,45;-1,323988E-09
-2,4;-1,306609E-09
-2,35;-1,28779E-09
-2,3;-1,269862E-09
-2,25;-1,251505E-09
-2,2;-1,229107E-09
-2,15;-1,209046E-09
-2,1;-1,191081E-09
-2,05;-1,170958E-09
-2;-1,146711E-09
-1,95;-1,122427E-09
-1,9;-1,100184E-09
-1,85;-1,077099E-09
-1,8;-1,047294E-09
-1,75;-1,016164E-09
-1,7;-9,811636E-10
-1,65;-9,407125E-10
-1,6;-8,887281E-10
-1,55;-8,208457E-10
-1,5;-7,344391E-10
-1,45;-6,174663E-10
-1,4;-4,646066E-10
-1,35;-2,550683E-10
-1,3;1,736512E-11
-1,25;3,680787E-10
-1,2;8,247628E-10
-1,15;1,415796E-09
-1,1;2,539915E-09
-1,05;3,230935E-09
-1;4,599084E-09
-0,95;6,53765E-09
-0,9;9,258929E-09
-0,85;1,308708E-08
-0,8;1,846496E-08
-0,75;2,97158E-08
-0,7;4,155492E-08
-0,65;5,753908E-08
-0,6;7,906483E-08
-0,55;1,081005E-07
-0,5;1,461002E-07
-0,45;1,946525E-07
-0,4;2,533129E-07
-0,35;3,185802E-07
-0,3;3,858446E-07
-0,25;4,541267E-07
-0,2;5,228117E-07
-0,15;5,921459E-07
-0,1;6,621408E-07
-0,05;7,32956E-07
0;8,050246E-07
0,05;8,77966E-07
0,1;9,516186E-07
0,15;1,02638E-06
0,2;1,102336E-06
0,25;1,178654E-06
0,3;1,257105E-06
0,35;1,335858E-06
0,4;1,41555E-06
0,45;1,496924E-06
0,5;1,578257E-06
0,55;1,662658E-06
0,6;1,745657E-06
0,65;1,831744E-06
0,7;1,916609E-06
0,75;2,003318E-06
0,8;2,089665E-06
0,85;2,176339E-06
0,9;2,26262E-06
0,95;2,348688E-06
1;2,4333E-06
1,05;2,518003E-06
1,1;2,600823E-06
1,15;2,682276E-06
1,2;2,761837E-06
1,25;2,840233E-06
1,3;2,916959E-06
1,35;2,991482E-06
1,4;3,064647E-06
1,45;3,135509E-06
1,5;3,205354E-06
1,55;3,272965E-06
1,6;3,339451E-06
1,65;3,40344E-06
1,7;3,466201E-06
1,75;3,526844E-06
1,8;3,58534E-06
1,85;3,642963E-06
1,9;3,6977E-06
1,95;3,751534E-06
2;3,802986E-06
2,05;3,853023E-06
2,1;3,901454E-06
2,15;3,947539E-06
2,2;3,992551E-06
2,25;4,036162E-06
2,3;4,076859E-06
2,35;4,119162E-06
2,4;4,156544E-06
2,45;4,195889E-06
2,5;4,232798E-06
2,55;4,268264E-06
2,6;4,302215E-06
2,65;4,337123E-06
2,7;4,369186E-06
2,75;4,401259E-06
2,8;4,431763E-06
2,85;4,462716E-06
2,9;4,490925E-06
2,95;4,520412E-06
3;4,546866E-06
3,05;4,573919E-06
3,1;4,599922E-06
3,15;4,624969E-06
3,2;4,649385E-06
3,25;4,672545E-06
3,3;4,695972E-06
3,35;4,71836E-06
3,4;4,740593E-06
3,45;4,761452E-06
3,5;4,782476E-06
3,55;4,803141E-06
3,6;4,822773E-06
3,65;4,842342E-06
3,7;4,861813E-06
3,75;4,879865E-06
3,8;4,898935E-06
3,85;4,916565E-06
3,9;4,934829E-06
3,95;4,952028E-06
4;4,968853E-06
4,05;4,986116E-06
4,1;5,002088E-06
4,15;5,018676E-06
4,2;5,034662E-06
4,25;5,050181E-06
4,3;5,065668E-06
4,35;5,080247E-06
4,4;5,095455E-06
4,45;5,109685E-06
4,5;5,124001E-06
4,55;5,137452E-06
4,6;5,151747E-06
4,65;5,16486E-06
4,7;5,17807E-06
4,75;5,191279E-06
4,8;5,204141E-06
4,85;5,216666E-06
4,9;5,228701E-06
4,95;5,241652E-06
5;5,253185E-06
