Tensao [V];Corrente [A]
-5;-9,218375E-10
-4,95;-8,818432E-10
-4,9;-8,606095E-10
-4,85;-8,404619E-10
-4,8;-8,27043E-10
-4,75;-8,095225E-10
-4,7;-7,987164E-10
-4,65;-7,886889E-10
-4,6;-7,751101E-10
-4,55;-7,653954E-10
-4,5;-7,558695E-10
-4,45;-7,447813E-10
-4,4;-7,364824E-10
-4,35;-7,261783E-10
-4,3;-7,139316E-10
-4,25;-7,038763E-10
-4,2;-6,908711E-10
-4,15;-6,831221E-10
-4,1;-6,760005E-10
-4,05;-6,687913E-10
-4;-6,60708E-10
-3,95;-6,514675E-10
-3,9;-6,394149E-10
-3,85;-6,367565E-10
-3,8;-6,242372E-10
-3,75;-6,148547E-10
-3,7;-6,021838E-10
-3,65;-5,930255E-10
-3,6;-5,838913E-10
-3,55;-5,745746E-10
-3,5;-5,64908E-10
-3,45;-5,569396E-10
-3,4;-5,444664E-10
-3,35;-5,372428E-10
-3,3;-5,286941E-10
-3,25;-5,204469E-10
-3,2;-5,116943E-10
-3,15;-5,03495E-10
-3,1;-4,942104E-10
-3,05;-4,853474E-10
-3;-4,761321E-10
-2,95;-4,674089E-10
-2,9;-4,572083E-10
-2,85;-4,493975E-10
-2,8;-4,410604E-10
-2,75;-4,304386E-10
-2,7;-4,210058E-10
-2,65;-4,14509E-10
-2,6;-4,0532E-10
-2,55;-3,963835E-10
-2,5;-3,881681E-10
-2,45;-3,793693E-10
-2,4;-3,707822E-10
-2,35;-3,606606E-10
-2,3;-3,489574E-10
-2,25;-3,382603E-10
-2,2;-3,298639E-10
-2,15;-3,195937E-10
-2,1;-3,05616E-10
-2,05;-2,990211E-10
-2;-2,899252E-10
-1,95;-2,786506E-10
-1,9;-2,685601E-10
-1,85;-2,574937E-10
-1,8;-2,507569E-10
-1,75;-2,360036E-10
-1,7;-2,218065E-10
-1,65;-2,080664E-10
-1,6;-1,954965E-10
-1,55;-1,838331E-10
-1,5;-1,695976E-10
-1,45;-1,5253E-10
-1,4;-1,362783E-10
-1,35;-1,163759E-10
-1,3;-8,97328E-11
-1,25;-5,831188E-11
-1,2;-1,53218E-11
-1,15;5,042329E-11
-1,1;1,351561E-10
-1,05;2,558981E-10
-1;4,176497E-10
-0,95;6,423669E-10
-0,9;9,641333E-10
-0,85;1,438082E-09
-0,8;2,565508E-09
-0,75;3,365752E-09
-0,7;5,240268E-09
-0,65;8,386822E-09
-0,6;1,356885E-08
-0,55;2,656852E-08
-0,5;4,247058E-08
-0,45;6,627626E-08
-0,4;9,943988E-08
-0,35;1,420664E-07
-0,3;1,916651E-07
-0,25;2,445746E-07
-0,2;2,98205E-07
-0,15;3,521243E-07
-0,1;4,061944E-07
-0,05;4,604294E-07
0;5,151319E-07
0,05;5,700628E-07
0,1;6,250471E-07
0,15;6,802959E-07
0,2;7,358651E-07
0,25;7,916419E-07
0,3;8,478612E-07
0,35;9,040442E-07
0,4;9,60441E-07
0,45;1,017019E-06
0,5;1,073865E-06
0,55;1,130956E-06
0,6;1,188072E-06
0,65;1,245356E-06
0,7;1,302461E-06
0,75;1,359374E-06
0,8;1,416277E-06
0,85;1,472447E-06
0,9;1,527793E-06
0,95;1,582051E-06
1;1,635163E-06
1,05;1,68727E-06
1,1;1,737527E-06
1,15;1,786048E-06
1,2;1,832841E-06
1,25;1,877919E-06
1,3;1,921329E-06
1,35;1,962568E-06
1,4;2,001946E-06
1,45;2,039505E-06
1,5;2,075277E-06
1,55;2,107662E-06
1,6;2,141198E-06
1,65;2,171788E-06
1,7;2,200999E-06
1,75;2,228657E-06
1,8;2,255109E-06
1,85;2,280509E-06
1,9;2,304882E-06
1,95;2,328452E-06
2;2,351205E-06
2,05;2,373096E-06
2,1;2,394509E-06
2,15;2,415283E-06
2,2;2,435681E-06
2,25;2,455365E-06
2,3;2,474394E-06
2,35;2,492875E-06
2,4;2,510865E-06
2,45;2,528267E-06
2,5;2,545053E-06
2,55;2,56159E-06
2,6;2,577513E-06
2,65;2,592732E-06
2,7;2,607461E-06
2,75;2,621919E-06
2,8;2,635733E-06
2,85;2,649487E-06
2,9;2,66275E-06
2,95;2,67569E-06
3;2,688326E-06
3,05;2,700686E-06
3,1;2,712673E-06
3,15;2,724584E-06
3,2;2,736268E-06
3,25;2,747338E-06
3,3;2,758723E-06
3,35;2,769704E-06
3,4;2,780298E-06
3,45;2,791056E-06
3,5;2,801524E-06
3,55;2,811729E-06
3,6;2,821631E-06
3,65;2,831727E-06
3,7;2,841039E-06
3,75;2,850756E-06
3,8;2,859769E-06
3,85;2,868896E-06
3,9;2,877874E-06
3,95;2,886776E-06
4;2,895362E-06
4,05;2,903937E-06
4,1;2,912212E-06
4,15;2,920274E-06
4,2;2,928347E-06
4,25;2,936559E-06
4,3;2,94457E-06
4,35;2,952557E-06
4,4;2,960106E-06
4,45;2,967912E-06
4,5;2,975701E-06
4,55;2,983372E-06
4,6;2,990908E-06
4,65;2,998518E-06
4,7;3,006166E-06
4,75;3,013574E-06
4,8;3,021084E-06
4,85;3,028381E-06
4,9;3,035917E-06
4,95;3,043212E-06
5;3,050697E-06
