Tensao [V];Corrente [A]
-5;-9,358244E-10
-4,95;-8,958588E-10
-4,9;-8,669866E-10
-4,85;-8,479257E-10
-4,8;-8,350676E-10
-4,75;-8,21826E-10
-4,7;-8,050385E-10
-4,65;-7,918062E-10
-4,6;-7,825912E-10
-4,55;-7,718142E-10
-4,5;-7,600037E-10
-4,45;-7,481031E-10
-4,4;-7,406579E-10
-4,35;-7,311318E-10
-4,3;-7,200581E-10
-4,25;-7,065468E-10
-4,2;-6,997452E-10
-4,15;-6,912888E-10
-4,1;-6,786889E-10
-4,05;-6,684619E-10
-4;-6,615554E-10
-3,95;-6,563358E-10
-3,9;-6,452197E-10
-3,85;-6,351378E-10
-3,8;-6,272018E-10
-3,75;-6,201134E-10
-3,7;-6,105341E-10
-3,65;-5,985131E-10
-3,6;-5,907431E-10
-3,55;-5,824518E-10
-3,5;-5,723838E-10
-3,45;-5,61326E-10
-3,4;-5,536874E-10
-3,35;-5,47167E-10
-3,3;-5,362583E-10
-3,25;-5,243274E-10
-3,2;-5,148533E-10
-3,15;-5,086009E-10
-3,1;-4,987045E-10
-3,05;-4,866205E-10
-3;-4,81216E-10
-2,95;-4,762659E-10
-2,9;-4,646845E-10
-2,85;-4,536561E-10
-2,8;-4,463372E-10
-2,75;-4,402431E-10
-2,7;-4,293232E-10
-2,65;-4,171755E-10
-2,6;-4,080189E-10
-2,55;-4,007987E-10
-2,5;-3,923836E-10
-2,45;-3,80199E-10
-2,4;-3,718879E-10
-2,35;-3,640194E-10
-2,3;-3,516649E-10
-2,25;-3,432659E-10
-2,2;-3,322467E-10
-2,15;-3,246317E-10
-2,1;-3,122611E-10
-2,05;-2,99451E-10
-2;-2,907971E-10
-1,95;-2,820764E-10
-1,9;-2,703324E-10
-1,85;-2,568027E-10
-1,8;-2,47584E-10
-1,75;-2,38919E-10
-1,7;-2,260394E-10
-1,65;-2,122337E-10
-1,6;-1,998236E-10
-1,55;-1,877678E-10
-1,5;-1,749885E-10
-1,45;-1,598899E-10
-1,4;-1,400258E-10
-1,35;-1,212082E-10
-1,3;-9,606104E-11
-1,25;-5,90042E-11
-1,2;-1,445986E-11
-1,15;4,582505E-11
-1,1;1,320266E-10
-1,05;2,505692E-10
-1;4,176012E-10
-0,95;6,395247E-10
-0,9;9,609433E-10
-0,85;1,434693E-09
-0,8;2,394881E-09
-0,75;3,3408E-09
-0,7;5,235016E-09
-0,65;8,376905E-09
-0,6;1,355222E-08
-0,55;2,6566E-08
-0,5;4,246693E-08
-0,45;6,625555E-08
-0,4;9,939721E-08
-0,35;1,420359E-07
-0,3;1,916174E-07
-0,25;2,445196E-07
-0,2;2,981545E-07
-0,15;3,520788E-07
-0,1;4,06124E-07
-0,05;4,603434E-07
0;5,15052E-07
0,05;5,699849E-07
0,1;6,249704E-07
0,15;6,801747E-07
0,2;7,358102E-07
0,25;7,915547E-07
0,3;8,477559E-07
0,35;9,039114E-07
0,4;9,603108E-07
0,45;1,016887E-06
0,5;1,073665E-06
0,55;1,130756E-06
0,6;1,187918E-06
0,65;1,245175E-06
0,7;1,302328E-06
0,75;1,359192E-06
0,8;1,41612E-06
0,85;1,472237E-06
0,9;1,527627E-06
0,95;1,581861E-06
1;1,635065E-06
1,05;1,68706E-06
1,1;1,737306E-06
1,15;1,785911E-06
1,2;1,832689E-06
1,25;1,877823E-06
1,3;1,921103E-06
1,35;1,962357E-06
1,4;2,001771E-06
1,45;2,039322E-06
1,5;2,075046E-06
1,55;2,107575E-06
1,6;2,140897E-06
1,65;2,171613E-06
1,7;2,20075E-06
1,75;2,228331E-06
1,8;2,254834E-06
1,85;2,280208E-06
1,9;2,304632E-06
1,95;2,328039E-06
2;2,350718E-06
2,05;2,37267E-06
2,1;2,394247E-06
2,15;2,415057E-06
2,2;2,435217E-06
2,25;2,454824E-06
2,3;2,473754E-06
2,35;2,492562E-06
2,4;2,510577E-06
2,45;2,527854E-06
2,5;2,544791E-06
2,55;2,560862E-06
2,6;2,576872E-06
2,65;2,592219E-06
2,7;2,606959E-06
2,75;2,621453E-06
2,8;2,635344E-06
2,85;2,64916E-06
2,9;2,662425E-06
2,95;2,675451E-06
3;2,687862E-06
3,05;2,700148E-06
3,1;2,712536E-06
3,15;2,724309E-06
3,2;2,735691E-06
3,25;2,747162E-06
3,3;2,758335E-06
3,35;2,769241E-06
3,4;2,779986E-06
3,45;2,790554E-06
3,5;2,80106E-06
3,55;2,811213E-06
3,6;2,821307E-06
3,65;2,831172E-06
3,7;2,840639E-06
3,75;2,850205E-06
3,8;2,859634E-06
3,85;2,868608E-06
3,9;2,877295E-06
3,95;2,886385E-06
4;2,894923E-06
4,05;2,903487E-06
4,1;2,911774E-06
4,15;2,920224E-06
4,2;2,928108E-06
4,25;2,936299E-06
4,3;2,944169E-06
4,35;2,952092E-06
4,4;2,959903E-06
4,45;2,96769E-06
4,5;2,9753E-06
4,55;2,983148E-06
4,6;2,990745E-06
4,65;2,998177E-06
4,7;3,005602E-06
4,75;3,013136E-06
4,8;3,020747E-06
4,85;3,028119E-06
4,9;3,035515E-06
4,95;3,042824E-06
5;3,050344E-06
