Tensao [V];Corrente [A]
-5;-4,092294E-09
-4,95;-4,249172E-09
-4,9;-4,248091E-09
-4,85;-4,240804E-09
-4,8;-4,224177E-09
-4,75;-4,209565E-09
-4,7;-4,198809E-09
-4,65;-4,184922E-09
-4,6;-4,173572E-09
-4,55;-4,164598E-09
-4,5;-4,15423E-09
-4,45;-4,144157E-09
-4,4;-4,135574E-09
-4,35;-4,126235E-09
-4,3;-4,118672E-09
-4,25;-4,107892E-09
-4,2;-4,097199E-09
-4,15;-4,086655E-09
-4,1;-4,076637E-09
-4,05;-4,069187E-09
-4;-4,061506E-09
-3,95;-4,049865E-09
-3,9;-4,042338E-09
-3,85;-4,032419E-09
-3,8;-4,019912E-09
-3,75;-4,007001E-09
-3,7;-3,998091E-09
-3,65;-3,990648E-09
-3,6;-3,978046E-09
-3,55;-3,965831E-09
-3,5;-3,952883E-09
-3,45;-3,94376E-09
-3,4;-3,933146E-09
-3,35;-3,921974E-09
-3,3;-3,908403E-09
-3,25;-3,896943E-09
-3,2;-3,880078E-09
-3,15;-3,862986E-09
-3,1;-3,844652E-09
-3,05;-3,831648E-09
-3;-3,815643E-09
-2,95;-3,79963E-09
-2,9;-3,780662E-09
-2,85;-3,762824E-09
-2,8;-3,746643E-09
-2,75;-3,726923E-09
-2,7;-3,701022E-09
-2,65;-3,673043E-09
-2,6;-3,648137E-09
-2,55;-3,617622E-09
-2,5;-3,585938E-09
-2,45;-3,547576E-09
-2,4;-3,505234E-09
-2,35;-3,453136E-09
-2,3;-3,386373E-09
-2,25;-3,311179E-09
-2,2;-3,211049E-09
-2,15;-3,075881E-09
-2,1;-2,90084E-09
-2,05;-2,679453E-09
-2;-2,404996E-09
-1,95;-2,058436E-09
-1,9;-1,442824E-09
-1,85;-1,084812E-09
-1,8;-4,514831E-10
-1,75;3,161929E-10
-1,7;1,215285E-09
-1,65;2,637362E-09
-1,6;3,543114E-09
-1,55;4,97461E-09
-1,5;6,716188E-09
-1,45;8,827563E-09
-1,4;1,145382E-08
-1,35;1,480509E-08
-1,3;2,142112E-08
-1,25;2,772025E-08
-1,2;3,597005E-08
-1,15;4,664204E-08
-1,1;6,016244E-08
-1,05;7,718597E-08
-1;9,856718E-08
-0,95;1,250384E-07
-0,9;1,571286E-07
-0,85;1,953498E-07
-0,8;2,405472E-07
-0,75;2,926903E-07
-0,7;3,518023E-07
-0,65;4,180631E-07
-0,6;4,91691E-07
-0,55;5,729048E-07
-0,5;6,603849E-07
-0,45;7,533446E-07
-0,4;8,510666E-07
-0,35;9,527735E-07
-0,3;1,058009E-06
-0,25;1,167044E-06
-0,2;1,278814E-06
-0,15;1,393585E-06
-0,1;1,511146E-06
-0,05;1,631467E-06
0;1,755347E-06
0,05;1,881643E-06
0,1;2,009932E-06
0,15;2,140686E-06
0,2;2,274046E-06
0,25;2,409813E-06
0,3;2,548629E-06
0,35;2,689108E-06
0,4;2,831923E-06
0,45;2,977107E-06
0,5;3,124371E-06
0,55;3,274179E-06
0,6;3,424779E-06
0,65;3,577071E-06
0,7;3,730228E-06
0,75;3,884339E-06
0,8;4,039423E-06
0,85;4,194488E-06
0,9;4,349525E-06
0,95;4,505026E-06
1;4,659939E-06
1,05;4,815275E-06
1,1;4,969558E-06
1,15;5,123521E-06
1,2;5,27693E-06
1,25;5,429156E-06
1,3;5,581559E-06
1,35;5,732848E-06
1,4;5,883175E-06
1,45;6,032898E-06
1,5;6,181656E-06
1,55;6,329442E-06
1,6;6,477222E-06
1,65;6,623445E-06
1,7;6,768845E-06
1,75;6,913728E-06
1,8;7,057513E-06
1,85;7,201063E-06
1,9;7,342994E-06
1,95;7,484162E-06
2;7,62426E-06
2,05;7,763092E-06
2,1;7,901292E-06
2,15;8,037954E-06
2,2;8,173123E-06
2,25;8,306906E-06
2,3;8,439245E-06
2,35;8,571056E-06
2,4;8,700944E-06
2,45;8,829073E-06
2,5;8,955299E-06
2,55;9,080507E-06
2,6;9,204377E-06
2,65;9,326232E-06
2,7;9,446279E-06
2,75;9,564684E-06
2,8;9,681092E-06
2,85;9,796219E-06
2,9;9,908921E-06
2,95;1,001996E-05
3;1,012928E-05
3,05;1,023598E-05
3,1;1,034154E-05
3,15;1,044519E-05
3,2;1,054667E-05
3,25;1,064589E-05
3,3;1,074359E-05
3,35;1,083962E-05
3,4;1,093341E-05
3,45;1,102525E-05
3,5;1,111535E-05
3,55;1,120398E-05
3,6;1,129073E-05
3,65;1,137559E-05
3,7;1,145889E-05
3,75;1,154067E-05
3,8;1,162038E-05
3,85;1,169847E-05
3,9;1,177536E-05
3,95;1,185052E-05
4;1,192334E-05
4,05;1,1995E-05
4,1;1,206444E-05
4,15;1,213332E-05
4,2;1,220002E-05
4,25;1,226476E-05
4,3;1,232725E-05
4,35;1,238877E-05
4,4;1,244885E-05
4,45;1,250724E-05
4,5;1,256351E-05
4,55;1,261899E-05
4,6;1,267241E-05
4,65;1,272506E-05
4,7;1,27756E-05
4,75;1,282536E-05
4,8;1,287299E-05
4,85;1,291966E-05
4,9;1,296535E-05
4,95;1,301015E-05
5;1,305377E-05
