Tensao [V];Corrente [A]
-5;-3,995507E-09
-4,95;-4,190664E-09
-4,9;-4,195586E-09
-4,85;-4,184202E-09
-4,8;-4,16909E-09
-4,75;-4,155758E-09
-4,7;-4,149997E-09
-4,65;-4,151485E-09
-4,6;-4,127308E-09
-4,55;-4,117331E-09
-4,5;-4,106779E-09
-4,45;-4,095189E-09
-4,4;-4,083816E-09
-4,35;-4,074854E-09
-4,3;-4,06555E-09
-4,25;-4,056931E-09
-4,2;-4,045538E-09
-4,15;-4,036816E-09
-4,1;-4,028841E-09
-4,05;-4,018585E-09
-4;-4,007519E-09
-3,95;-3,996893E-09
-3,9;-3,989155E-09
-3,85;-3,978821E-09
-3,8;-3,965713E-09
-3,75;-3,955185E-09
-3,7;-3,945521E-09
-3,65;-3,936485E-09
-3,6;-3,924217E-09
-3,55;-3,913996E-09
-3,5;-3,901662E-09
-3,45;-3,891157E-09
-3,4;-3,875906E-09
-3,35;-3,864062E-09
-3,3;-3,852736E-09
-3,25;-3,839301E-09
-3,2;-3,82496E-09
-3,15;-3,809994E-09
-3,1;-3,796598E-09
-3,05;-3,781782E-09
-3;-3,763487E-09
-2,95;-3,745669E-09
-2,9;-3,73069E-09
-2,85;-3,711728E-09
-2,8;-3,689299E-09
-2,75;-3,668587E-09
-2,7;-3,648857E-09
-2,65;-3,626738E-09
-2,6;-3,599484E-09
-2,55;-3,568772E-09
-2,5;-3,538212E-09
-2,45;-3,502125E-09
-2,4;-3,455036E-09
-2,35;-3,4017E-09
-2,3;-3,33816E-09
-2,25;-3,262037E-09
-2,2;-3,159377E-09
-2,15;-3,026583E-09
-2,1;-2,858906E-09
-2,05;-2,646511E-09
-2;-2,371694E-09
-1,95;-2,025133E-09
-1,9;-1,421328E-09
-1,85;-1,068744E-09
-1,8;-4,525075E-10
-1,75;3,025421E-10
-1,7;1,195309E-09
-1,65;2,608094E-09
-1,6;3,495375E-09
-1,55;4,90505E-09
-1,5;6,614734E-09
-1,45;8,698285E-09
-1,4;1,129166E-08
-1,35;1,459912E-08
-1,3;2,108892E-08
-1,25;2,736538E-08
-1,2;3,546711E-08
-1,15;4,593685E-08
-1,1;5,932527E-08
-1,05;7,621644E-08
-1;9,730667E-08
-0,95;1,233716E-07
-0,9;1,550386E-07
-0,85;1,928752E-07
-0,8;2,375012E-07
-0,75;2,891103E-07
-0,7;3,476405E-07
-0,65;4,133036E-07
-0,6;4,86142E-07
-0,55;5,666813E-07
-0,5;6,536144E-07
-0,45;7,459104E-07
-0,4;8,429927E-07
-0,35;9,441143E-07
-0,3;1,048799E-06
-0,25;1,15718E-06
-0,2;1,268174E-06
-0,15;1,382258E-06
-0,1;1,49911E-06
-0,05;1,618739E-06
0;1,741887E-06
0,05;1,867231E-06
0,1;1,994632E-06
0,15;2,12452E-06
0,2;2,25728E-06
0,25;2,39188E-06
0,3;2,529702E-06
0,35;2,669293E-06
0,4;2,811392E-06
0,45;2,955609E-06
0,5;3,101959E-06
0,55;3,250665E-06
0,6;3,400434E-06
0,65;3,551777E-06
0,7;3,703663E-06
0,75;3,85662E-06
0,8;4,011131E-06
0,85;4,165074E-06
0,9;4,319236E-06
0,95;4,473485E-06
1;4,627504E-06
1,05;4,781866E-06
1,1;4,935021E-06
1,15;5,087931E-06
1,2;5,24008E-06
1,25;5,391748E-06
1,3;5,54301E-06
1,35;5,693142E-06
1,4;5,842538E-06
1,45;5,990968E-06
1,5;6,138684E-06
1,55;6,285222E-06
1,6;6,432007E-06
1,65;6,577126E-06
1,7;6,721168E-06
1,75;6,864822E-06
1,8;7,007597E-06
1,85;7,149986E-06
1,9;7,290761E-06
1,95;7,430607E-06
2;7,569723E-06
2,05;7,70736E-06
2,1;7,84443E-06
2,15;7,979554E-06
2,2;8,113622E-06
2,25;8,246394E-06
2,3;8,377413E-06
2,35;8,507929E-06
2,4;8,636198E-06
2,45;8,762875E-06
2,5;8,888717E-06
2,55;9,012261E-06
2,6;9,134824E-06
2,65;9,255422E-06
2,7;9,373801E-06
2,75;9,49096E-06
2,8;9,606157E-06
2,85;9,719854E-06
2,9;9,831389E-06
2,95;9,940994E-06
3;1,004847E-05
3,05;1,015427E-05
3,1;1,025876E-05
3,15;1,036074E-05
3,2;1,046041E-05
3,25;1,055872E-05
3,3;1,06547E-05
3,35;1,074906E-05
3,4;1,084149E-05
3,45;1,09321E-05
3,5;1,1021E-05
3,55;1,110788E-05
3,6;1,119321E-05
3,65;1,127598E-05
3,7;1,135753E-05
3,75;1,143793E-05
3,8;1,151608E-05
3,85;1,159301E-05
3,9;1,166826E-05
3,95;1,174222E-05
4;1,18142E-05
4,05;1,188391E-05
4,1;1,195293E-05
4,15;1,201974E-05
4,2;1,208511E-05
4,25;1,214884E-05
4,3;1,221067E-05
4,35;1,227125E-05
4,4;1,233005E-05
4,45;1,23877E-05
4,5;1,244292E-05
4,55;1,249743E-05
4,6;1,255008E-05
4,65;1,26016E-05
4,7;1,265166E-05
4,75;1,270041E-05
4,8;1,274801E-05
4,85;1,279392E-05
4,9;1,283931E-05
4,95;1,288303E-05
5;1,292633E-05
