Tensao [V];Corrente [A]
-5;-7,193788E-10
-4,95;-6,963841E-10
-4,9;-6,814092E-10
-4,85;-6,642523E-10
-4,8;-6,576305E-10
-4,75;-6,451098E-10
-4,7;-6,375359E-10
-4,65;-6,278889E-10
-4,6;-6,163144E-10
-4,55;-6,066289E-10
-4,5;-5,975599E-10
-4,45;-5,900266E-10
-4,4;-5,830715E-10
-4,35;-5,697597E-10
-4,3;-5,591209E-10
-4,25;-5,550388E-10
-4,2;-5,501326E-10
-4,15;-5,474299E-10
-4,1;-5,438844E-10
-4,05;-5,392538E-10
-4;-5,267682E-10
-3,95;-5,143893E-10
-3,9;-5,074937E-10
-3,85;-4,99622E-10
-3,8;-4,885003E-10
-3,75;-4,769261E-10
-3,7;-4,612958E-10
-3,65;-4,486976E-10
-3,6;-4,395336E-10
-3,55;-4,289994E-10
-3,5;-4,261795E-10
-3,45;-4,223914E-10
-3,4;-4,100319E-10
-3,35;-3,9487E-10
-3,3;-3,840537E-10
-3,25;-3,773042E-10
-3,2;-3,686167E-10
-3,15;-3,564893E-10
-3,1;-3,488765E-10
-3,05;-3,435317E-10
-3;-3,348503E-10
-2,95;-3,221181E-10
-2,9;-3,131346E-10
-2,85;-3,053424E-10
-2,8;-2,965696E-10
-2,75;-2,833569E-10
-2,7;-2,733528E-10
-2,65;-2,684451E-10
-2,6;-2,569007E-10
-2,55;-2,462691E-10
-2,5;-2,352692E-10
-2,45;-2,28822E-10
-2,4;-2,179748E-10
-2,35;-2,066111E-10
-2,3;-1,946517E-10
-2,25;-1,868286E-10
-2,2;-1,771232E-10
-2,15;-1,645732E-10
-2,1;-1,533481E-10
-2,05;-1,434372E-10
-2;-1,342629E-10
-1,95;-1,209574E-10
-1,9;-1,099169E-10
-1,85;-9,908701E-11
-1,8;-9,006018E-11
-1,75;-7,670508E-11
-1,7;-6,247815E-11
-1,65;-5,140927E-11
-1,6;-4,062517E-11
-1,55;-2,618772E-11
-1,5;-1,243884E-11
-1,45;8,629742E-13
-1,4;1,324476E-11
-1,35;2,660367E-11
-1,3;4,421654E-11
-1,25;5,91644E-11
-1,2;7,209232E-11
-1,15;8,962597E-11
-1,1;1,084005E-10
-1,05;1,253311E-10
-1;1,410467E-10
-0,95;1,564837E-10
-0,9;1,792311E-10
-0,85;2,016045E-10
-0,8;2,211084E-10
-0,75;2,45067E-10
-0,7;2,737923E-10
-0,65;3,046677E-10
-0,6;3,385792E-10
-0,55;3,953957E-10
-0,5;4,959239E-10
-0,45;6,66241E-10
-0,4;9,492201E-10
-0,35;1,395059E-09
-0,3;2,414686E-09
-0,25;3,123019E-09
-0,2;4,495898E-09
-0,15;6,280111E-09
-0,1;8,329137E-09
-0,05;1,064803E-08
0;1,369354E-08
0,05;1,573117E-08
0,1;1,820436E-08
0,15;2,177712E-08
0,2;2,417731E-08
0,25;2,656813E-08
0,3;2,894869E-08
0,35;3,124168E-08
0,4;3,348521E-08
0,45;3,570409E-08
0,5;3,791051E-08
0,55;4,007476E-08
0,6;4,212118E-08
0,65;4,417726E-08
0,7;4,619637E-08
0,75;4,814892E-08
0,8;5,002328E-08
0,85;5,188023E-08
0,9;5,371566E-08
0,95;5,548517E-08
1;5,716798E-08
1,05;5,882673E-08
1,1;6,046228E-08
1,15;6,203713E-08
1,2;6,350025E-08
1,25;6,493438E-08
1,3;6,634911E-08
1,35;6,773078E-08
1,4;6,898378E-08
1,45;7,021631E-08
1,5;7,141158E-08
1,55;7,259208E-08
1,6;7,370669E-08
1,65;7,474839E-08
1,7;7,581777E-08
1,75;7,683635E-08
1,8;7,780174E-08
1,85;7,874673E-08
1,9;7,966219E-08
1,95;8,059133E-08
2;8,14492E-08
2,05;8,230469E-08
2,1;8,311717E-08
2,15;8,396329E-08
2,2;8,475551E-08
2,25;8,551962E-08
2,3;8,629118E-08
2,35;8,705935E-08
2,4;8,77953E-08
2,45;8,850495E-08
2,5;8,919704E-08
2,55;8,989621E-08
2,6;9,054904E-08
2,65;9,123406E-08
2,7;9,185962E-08
2,75;9,248895E-08
2,8;9,31466E-08
2,85;9,371634E-08
2,9;9,430087E-08
2,95;9,488569E-08
3;9,545597E-08
3,05;9,599541E-08
3,1;9,650955E-08
3,15;9,706493E-08
3,2;9,756047E-08
3,25;9,804413E-08
3,3;9,853892E-08
3,35;9,900828E-08
3,4;9,948477E-08
3,45;9,994979E-08
3,5;1,00386E-07
3,55;1,008232E-07
3,6;1,01259E-07
3,65;1,01683E-07
3,7;1,021088E-07
3,75;1,025416E-07
3,8;1,029615E-07
3,85;1,03367E-07
3,9;1,03754E-07
3,95;1,041506E-07
4;1,045403E-07
4,05;1,049333E-07
4,1;1,053096E-07
4,15;1,056832E-07
4,2;1,060669E-07
4,25;1,064805E-07
4,3;1,068259E-07
4,35;1,072116E-07
4,4;1,075347E-07
4,45;1,079165E-07
4,5;1,082674E-07
4,55;1,086123E-07
4,6;1,089685E-07
4,65;1,093209E-07
4,7;1,096634E-07
4,75;1,099892E-07
4,8;1,103312E-07
4,85;1,10675E-07
4,9;1,109813E-07
4,95;1,112948E-07
5;1,11601E-07
