Tensao [V];Corrente [A]
-5;-7,652005E-10
-4,95;-7,393299E-10
-4,9;-7,212251E-10
-4,85;-7,117231E-10
-4,8;-6,98607E-10
-4,75;-6,857784E-10
-4,7;-6,752309E-10
-4,65;-6,681355E-10
-4,6;-6,566901E-10
-4,55;-6,472052E-10
-4,5;-6,375458E-10
-4,45;-6,30696E-10
-4,4;-6,234992E-10
-4,35;-6,134213E-10
-4,3;-6,042381E-10
-4,25;-5,9821E-10
-4,2;-5,892057E-10
-4,15;-5,794156E-10
-4,1;-5,714303E-10
-4,05;-5,652854E-10
-4;-5,560765E-10
-3,95;-5,464025E-10
-3,9;-5,374323E-10
-3,85;-5,31041E-10
-3,8;-5,227087E-10
-3,75;-5,117018E-10
-3,7;-5,018364E-10
-3,65;-4,945636E-10
-3,6;-4,886632E-10
-3,55;-4,774473E-10
-3,5;-4,692512E-10
-3,45;-4,619696E-10
-3,4;-4,538378E-10
-3,35;-4,432979E-10
-3,3;-4,320197E-10
-3,25;-4,231739E-10
-3,2;-4,126757E-10
-3,15;-4,03384E-10
-3,1;-3,928661E-10
-3,05;-3,844001E-10
-3;-3,753524E-10
-2,95;-3,66271E-10
-2,9;-3,556343E-10
-2,85;-3,489306E-10
-2,8;-3,385863E-10
-2,75;-3,28336E-10
-2,7;-3,172981E-10
-2,65;-3,078948E-10
-2,6;-2,989348E-10
-2,55;-2,888925E-10
-2,5;-2,771339E-10
-2,45;-2,66684E-10
-2,4;-2,575297E-10
-2,35;-2,476273E-10
-2,3;-2,359689E-10
-2,25;-2,269174E-10
-2,2;-2,167499E-10
-2,15;-2,060674E-10
-2,1;-1,913166E-10
-2,05;-1,792371E-10
-2;-1,684183E-10
-1,95;-1,580106E-10
-1,9;-1,442866E-10
-1,85;-1,340958E-10
-1,8;-1,239296E-10
-1,75;-1,116223E-10
-1,7;-9,965045E-11
-1,65;-8,568365E-11
-1,6;-7,553107E-11
-1,55;-6,248316E-11
-1,5;-4,742281E-11
-1,45;-3,490117E-11
-1,4;-1,926374E-11
-1,35;-7,009632E-12
-1,3;1,034065E-11
-1,25;2,252799E-11
-1,2;4,027588E-11
-1,15;5,389238E-11
-1,1;7,185825E-11
-1,05;8,884701E-11
-1;1,064809E-10
-0,95;1,253433E-10
-0,9;1,465217E-10
-0,85;1,679725E-10
-0,8;1,89801E-10
-0,75;2,133101E-10
-0,7;2,40948E-10
-0,65;2,692708E-10
-0,6;3,090515E-10
-0,55;3,626197E-10
-0,5;4,627078E-10
-0,45;6,334484E-10
-0,4;9,258662E-10
-0,35;1,375424E-09
-0,3;2,083738E-09
-0,25;3,608029E-09
-0,2;4,530617E-09
-0,15;6,285112E-09
-0,1;8,380188E-09
-0,05;1,06889E-08
0;1,375823E-08
0,05;1,580481E-08
0,1;1,829848E-08
0,15;2,188859E-08
0,2;2,432246E-08
0,25;2,674227E-08
0,3;2,912432E-08
0,35;3,143516E-08
0,4;3,366938E-08
0,45;3,591668E-08
0,5;3,812917E-08
0,55;4,029958E-08
0,6;4,238036E-08
0,65;4,441591E-08
0,7;4,643529E-08
0,75;4,840539E-08
0,8;5,032586E-08
0,85;5,216005E-08
0,9;5,398592E-08
0,95;5,575525E-08
1;5,747403E-08
1,05;5,914453E-08
1,1;6,077991E-08
1,15;6,235204E-08
1,2;6,383243E-08
1,25;6,527401E-08
1,3;6,670171E-08
1,35;6,805326E-08
1,4;6,930641E-08
1,45;7,058085E-08
1,5;7,17963E-08
1,55;7,29529E-08
1,6;7,407229E-08
1,65;7,514068E-08
1,7;7,618352E-08
1,75;7,720747E-08
1,8;7,815021E-08
1,85;7,910412E-08
1,9;8,004617E-08
1,95;8,096867E-08
2;8,186294E-08
2,05;8,267617E-08
2,1;8,352211E-08
2,15;8,437275E-08
2,2;8,515966E-08
2,25;8,59401E-08
2,3;8,670119E-08
2,35;8,745675E-08
2,4;8,819559E-08
2,45;8,890243E-08
2,5;8,961194E-08
2,55;9,030931E-08
2,6;9,098824E-08
2,65;9,163349E-08
2,7;9,2277E-08
2,75;9,291777E-08
2,8;9,35452E-08
2,85;9,4144E-08
2,9;9,472938E-08
2,95;9,530983E-08
3;9,589375E-08
3,05;9,644587E-08
3,1;9,707129E-08
3,15;9,760072E-08
3,2;9,808808E-08
3,25;9,858201E-08
3,3;9,916617E-08
3,35;9,958848E-08
3,4;1,001083E-07
3,45;1,005395E-07
3,5;1,010191E-07
3,55;1,014664E-07
3,6;1,019084E-07
3,65;1,023426E-07
3,7;1,027589E-07
3,75;1,031681E-07
3,8;1,03591E-07
3,85;1,039929E-07
3,9;1,04416E-07
3,95;1,04826E-07
4;1,052198E-07
4,05;1,056049E-07
4,1;1,059902E-07
4,15;1,063736E-07
4,2;1,067333E-07
4,25;1,071121E-07
4,3;1,074692E-07
4,35;1,078569E-07
4,4;1,08227E-07
4,45;1,085823E-07
4,5;1,089507E-07
4,55;1,092909E-07
4,6;1,096491E-07
4,65;1,100093E-07
4,7;1,103268E-07
4,75;1,106932E-07
4,8;1,109996E-07
4,85;1,11337E-07
4,9;1,116586E-07
4,95;1,119843E-07
5;1,122764E-07
