Tensao [V];Corrente [A]
-5;-7,586137E-10
-4,95;-7,35507E-10
-4,9;-7,177811E-10
-4,85;-7,054518E-10
-4,8;-6,939061E-10
-4,75;-6,835393E-10
-4,7;-6,725635E-10
-4,65;-6,634551E-10
-4,6;-6,554605E-10
-4,55;-6,465763E-10
-4,5;-6,370727E-10
-4,45;-6,288808E-10
-4,4;-6,196677E-10
-4,35;-6,109455E-10
-4,3;-6,02884E-10
-4,25;-5,924347E-10
-4,2;-5,846804E-10
-4,15;-5,772118E-10
-4,1;-5,689095E-10
-4,05;-5,603296E-10
-4;-5,519072E-10
-3,95;-5,448285E-10
-3,9;-5,367489E-10
-3,85;-5,275997E-10
-3,8;-5,187621E-10
-3,75;-5,096788E-10
-3,7;-5,005797E-10
-3,65;-4,922773E-10
-3,6;-4,831566E-10
-3,55;-4,753162E-10
-3,5;-4,663388E-10
-3,45;-4,567485E-10
-3,4;-4,474395E-10
-3,35;-4,403322E-10
-3,3;-4,308585E-10
-3,25;-4,21274E-10
-3,2;-4,126733E-10
-3,15;-4,035563E-10
-3,1;-3,93541E-10
-3,05;-3,838901E-10
-3;-3,725747E-10
-2,95;-3,653892E-10
-2,9;-3,570063E-10
-2,85;-3,444801E-10
-2,8;-3,335819E-10
-2,75;-3,248822E-10
-2,7;-3,179768E-10
-2,65;-3,063765E-10
-2,6;-2,974364E-10
-2,55;-2,872457E-10
-2,5;-2,772973E-10
-2,45;-2,644091E-10
-2,4;-2,546034E-10
-2,35;-2,450527E-10
-2,3;-2,348567E-10
-2,25;-2,23612E-10
-2,2;-2,128997E-10
-2,15;-2,023322E-10
-2,1;-1,920635E-10
-2,05;-1,801239E-10
-2;-1,687626E-10
-1,95;-1,572752E-10
-1,9;-1,460539E-10
-1,85;-1,337007E-10
-1,8;-1,211964E-10
-1,75;-1,099131E-10
-1,7;-9,980521E-11
-1,65;-8,725388E-11
-1,6;-7,495028E-11
-1,55;-6,036545E-11
-1,5;-4,866865E-11
-1,45;-3,391294E-11
-1,4;-2,024703E-11
-1,35;-7,207781E-12
-1,3;7,525704E-12
-1,25;2,370946E-11
-1,2;4,089016E-11
-1,15;5,720394E-11
-1,1;7,292704E-11
-1,05;9,064147E-11
-1;1,135709E-10
-0,95;1,291479E-10
-0,9;1,491571E-10
-0,85;1,692171E-10
-0,8;1,936055E-10
-0,75;2,163467E-10
-0,7;2,431549E-10
-0,65;2,743584E-10
-0,6;3,136177E-10
-0,55;3,720861E-10
-0,5;4,66665E-10
-0,45;6,35258E-10
-0,4;9,259959E-10
-0,35;1,395367E-09
-0,3;2,094546E-09
-0,25;3,438144E-09
-0,2;4,492502E-09
-0,15;6,213294E-09
-0,1;8,370553E-09
-0,05;1,077886E-08
0;1,381153E-08
0,05;1,581576E-08
0,1;1,825874E-08
0,15;2,188733E-08
0,2;2,431442E-08
0,25;2,672037E-08
0,3;2,909916E-08
0,35;3,143831E-08
0,4;3,367507E-08
0,45;3,592877E-08
0,5;3,811909E-08
0,55;4,02733E-08
0,6;4,237231E-08
0,65;4,443341E-08
0,7;4,645051E-08
0,75;4,841586E-08
0,8;5,032791E-08
0,85;5,215865E-08
0,9;5,399485E-08
0,95;5,578093E-08
1;5,749316E-08
1,05;5,915865E-08
1,1;6,077812E-08
1,15;6,234951E-08
1,2;6,384263E-08
1,25;6,52788E-08
1,3;6,670268E-08
1,35;6,806084E-08
1,4;6,93483E-08
1,45;7,05699E-08
1,5;7,177792E-08
1,55;7,294563E-08
1,6;7,406008E-08
1,65;7,513324E-08
1,7;7,61611E-08
1,75;7,718256E-08
1,8;7,816019E-08
1,85;7,911744E-08
1,9;8,004418E-08
1,95;8,094196E-08
2;8,182315E-08
2,05;8,267342E-08
2,1;8,351676E-08
2,15;8,434389E-08
2,2;8,513986E-08
2,25;8,593484E-08
2,3;8,670855E-08
2,35;8,742357E-08
2,4;8,816043E-08
2,45;8,888147E-08
2,5;8,957903E-08
2,55;9,026674E-08
2,6;9,095149E-08
2,65;9,161073E-08
2,7;9,226487E-08
2,75;9,288996E-08
2,8;9,352513E-08
2,85;9,412485E-08
2,9;9,472235E-08
2,95;9,528267E-08
3;9,585336E-08
3,05;9,640377E-08
3,1;9,693817E-08
3,15;9,745062E-08
3,2;9,79621E-08
3,25;9,846626E-08
3,3;9,894739E-08
3,35;9,942973E-08
3,4;9,989012E-08
3,45;1,003589E-07
3,5;1,00814E-07
3,55;1,01253E-07
3,6;1,017085E-07
3,65;1,020915E-07
3,7;1,025329E-07
3,75;1,029519E-07
3,8;1,03347E-07
3,85;1,037771E-07
3,9;1,041874E-07
3,95;1,045793E-07
4;1,049638E-07
4,05;1,053644E-07
4,1;1,057621E-07
4,15;1,061355E-07
4,2;1,065156E-07
4,25;1,068684E-07
4,3;1,072889E-07
4,35;1,076209E-07
4,4;1,079862E-07
4,45;1,083421E-07
4,5;1,087178E-07
4,55;1,090673E-07
4,6;1,094154E-07
4,65;1,097564E-07
4,7;1,100973E-07
4,75;1,104424E-07
4,8;1,107778E-07
4,85;1,110951E-07
4,9;1,114291E-07
4,95;1,117546E-07
5;1,120563E-07
