Tensao [V];Corrente [A]
-5;-9,546242E-10
-4,95;-9,299214E-10
-4,9;-9,149077E-10
-4,85;-8,976422E-10
-4,8;-8,834843E-10
-4,75;-8,728475E-10
-4,7;-8,625836E-10
-4,65;-8,511172E-10
-4,6;-8,385458E-10
-4,55;-8,32051E-10
-4,5;-8,242114E-10
-4,45;-8,12899E-10
-4,4;-8,018201E-10
-4,35;-7,927412E-10
-4,3;-7,852191E-10
-4,25;-7,750882E-10
-4,2;-7,614314E-10
-4,15;-7,525089E-10
-4,1;-7,461305E-10
-4,05;-7,389866E-10
-4;-7,263507E-10
-3,95;-7,185388E-10
-3,9;-7,113015E-10
-3,85;-7,036086E-10
-3,8;-6,912201E-10
-3,75;-6,820021E-10
-3,7;-6,765319E-10
-3,65;-6,677209E-10
-3,6;-6,564117E-10
-3,55;-6,49381E-10
-3,5;-6,425735E-10
-3,45;-6,340333E-10
-3,4;-6,226256E-10
-3,35;-6,142434E-10
-3,3;-6,073766E-10
-3,25;-5,986311E-10
-3,2;-5,882776E-10
-3,15;-5,807658E-10
-3,1;-5,72934E-10
-3,05;-5,644352E-10
-3;-5,549905E-10
-2,95;-5,438958E-10
-2,9;-5,372321E-10
-2,85;-5,322424E-10
-2,8;-5,206906E-10
-2,75;-5,104708E-10
-2,7;-5,028463E-10
-2,65;-4,981364E-10
-2,6;-4,854563E-10
-2,55;-4,749088E-10
-2,5;-4,649667E-10
-2,45;-4,570994E-10
-2,4;-4,4711E-10
-2,35;-4,345727E-10
-2,3;-4,270479E-10
-2,25;-4,186047E-10
-2,2;-4,069027E-10
-2,15;-3,934203E-10
-2,1;-3,838236E-10
-2,05;-3,766731E-10
-2;-3,672787E-10
-1,95;-3,516747E-10
-1,9;-3,414017E-10
-1,85;-3,351181E-10
-1,8;-3,212741E-10
-1,75;-3,079632E-10
-1,7;-2,958543E-10
-1,65;-2,856757E-10
-1,6;-2,727122E-10
-1,55;-2,572917E-10
-1,5;-2,439301E-10
-1,45;-2,295114E-10
-1,4;-2,164077E-10
-1,35;-1,968693E-10
-1,3;-1,809979E-10
-1,25;-1,672515E-10
-1,2;-1,513081E-10
-1,15;-1,307603E-10
-1,1;-1,118783E-10
-1,05;-9,536781E-11
-1;-7,526967E-11
-0,95;-5,242464E-11
-0,9;-2,94385E-11
-0,85;-8,373111E-12
-0,8;1,807581E-11
-0,75;4,979184E-11
-0,7;8,568757E-11
-0,65;1,294374E-10
-0,6;1,922056E-10
-0,55;3,075785E-10
-0,5;5,170488E-10
-0,45;9,064242E-10
-0,4;1,600754E-09
-0,35;3,291942E-09
-0,3;4,60602E-09
-0,25;7,228601E-09
-0,2;1,087098E-08
-0,15;1,546224E-08
-0,1;2,381504E-08
-0,05;3,035644E-08
0;3,710802E-08
0,05;4,372805E-08
0,1;5,008624E-08
0,15;5,616677E-08
0,2;6,196049E-08
0,25;6,754374E-08
0,3;7,296407E-08
0,35;7,811434E-08
0,4;8,300702E-08
0,45;8,775869E-08
0,5;9,237593E-08
0,55;9,685561E-08
0,6;1,011867E-07
0,65;1,053366E-07
0,7;1,094205E-07
0,75;1,133903E-07
0,8;1,172356E-07
0,85;1,209772E-07
0,9;1,246644E-07
0,95;1,28245E-07
1;1,316752E-07
1,05;1,350246E-07
1,1;1,382909E-07
1,15;1,414387E-07
1,2;1,444557E-07
1,25;1,473122E-07
1,3;1,502002E-07
1,35;1,529086E-07
1,4;1,554852E-07
1,45;1,579258E-07
1,5;1,603453E-07
1,55;1,626703E-07
1,6;1,649077E-07
1,65;1,670564E-07
1,7;1,691652E-07
1,75;1,712182E-07
1,8;1,731788E-07
1,85;1,750664E-07
1,9;1,769123E-07
1,95;1,787498E-07
2;1,804906E-07
2,05;1,821641E-07
2,1;1,838411E-07
2,15;1,854751E-07
2,2;1,870535E-07
2,25;1,885796E-07
2,3;1,900577E-07
2,35;1,915599E-07
2,4;1,930006E-07
2,45;1,943765E-07
2,5;1,957245E-07
2,55;1,970891E-07
2,6;1,98389E-07
2,65;1,99657E-07
2,7;2,008607E-07
2,75;2,021006E-07
2,8;2,033101E-07
2,85;2,044017E-07
2,9;2,054658E-07
2,95;2,065496E-07
3;2,076036E-07
3,05;2,086127E-07
3,1;2,095708E-07
3,15;2,104456E-07
3,2;2,11443E-07
3,25;2,123341E-07
3,3;2,132658E-07
3,35;2,141521E-07
3,4;2,150154E-07
3,45;2,158698E-07
3,5;2,166973E-07
3,55;2,17587E-07
3,6;2,183773E-07
3,65;2,191566E-07
3,7;2,19987E-07
3,75;2,208035E-07
3,8;2,216026E-07
3,85;2,223911E-07
3,9;2,231881E-07
3,95;2,239979E-07
4;2,247475E-07
4,05;2,254984E-07
4,1;2,262636E-07
4,15;2,270517E-07
4,2;2,277931E-07
4,25;2,285177E-07
4,3;2,292469E-07
4,35;2,300068E-07
4,4;2,307218E-07
4,45;2,314107E-07
4,5;2,321278E-07
4,55;2,328362E-07
4,6;2,335297E-07
4,65;2,342315E-07
4,7;2,348632E-07
4,75;2,355598E-07
4,8;2,361923E-07
4,85;2,368472E-07
4,9;2,374328E-07
4,95;2,380818E-07
5;2,386982E-07
