Tensao [V];Corrente [A]
-5;-1,11041E-09
-4,95;-1,067049E-09
-4,9;-1,038765E-09
-4,85;-1,010169E-09
-4,8;-9,925744E-10
-4,75;-9,745444E-10
-4,7;-9,566808E-10
-4,65;-9,395072E-10
-4,6;-9,254189E-10
-4,55;-9,070703E-10
-4,5;-8,905899E-10
-4,45;-8,749552E-10
-4,4;-8,631111E-10
-4,35;-8,434088E-10
-4,3;-8,319336E-10
-4,25;-8,216186E-10
-4,2;-8,117997E-10
-4,15;-8,035843E-10
-4,1;-7,880376E-10
-4,05;-7,761224E-10
-4;-7,654417E-10
-3,95;-7,547067E-10
-3,9;-7,436701E-10
-3,85;-7,312554E-10
-3,8;-7,192856E-10
-3,75;-7,053501E-10
-3,7;-6,919417E-10
-3,65;-6,813474E-10
-3,6;-6,711467E-10
-3,55;-6,596806E-10
-3,5;-6,498444E-10
-3,45;-6,364499E-10
-3,4;-6,278835E-10
-3,35;-6,166749E-10
-3,3;-6,036495E-10
-3,25;-5,939894E-10
-3,2;-5,83026E-10
-3,15;-5,751794E-10
-3,1;-5,626523E-10
-3,05;-5,44275E-10
-3;-5,362332E-10
-2,95;-5,224123E-10
-2,9;-5,088264E-10
-2,85;-4,905255E-10
-2,8;-4,776208E-10
-2,75;-4,653509E-10
-2,7;-4,431521E-10
-2,65;-4,226419E-10
-2,6;-4,049133E-10
-2,55;-3,840484E-10
-2,5;-3,627783E-10
-2,45;-3,355258E-10
-2,4;-3,120799E-10
-2,35;-2,836096E-10
-2,3;-2,5633E-10
-2,25;-2,221295E-10
-2,2;-1,908109E-10
-2,15;-1,552294E-10
-2,1;-1,189704E-10
-2,05;-6,674766E-11
-2;-2,087245E-11
-1,95;3,352085E-11
-1,9;8,631305E-11
-1,85;1,452645E-10
-1,8;2,013822E-10
-1,75;2,620276E-10
-1,7;3,222802E-10
-1,65;3,844511E-10
-1,6;4,462201E-10
-1,55;5,212082E-10
-1,5;5,874488E-10
-1,45;6,547266E-10
-1,4;7,277405E-10
-1,35;8,014645E-10
-1,3;8,854268E-10
-1,25;9,709618E-10
-1,2;1,058592E-09
-1,15;1,155787E-09
-1,1;1,258456E-09
-1,05;1,380899E-09
-1;1,504925E-09
-0,95;1,65102E-09
-0,9;1,825491E-09
-0,85;2,041576E-09
-0,8;2,439806E-09
-0,75;2,713484E-09
-0,7;3,275978E-09
-0,65;4,103918E-09
-0,6;5,34401E-09
-0,55;7,17726E-09
-0,5;9,824859E-09
-0,45;1,35263E-08
-0,4;1,842018E-08
-0,35;2,758437E-08
-0,3;3,520412E-08
-0,25;4,374738E-08
-0,2;5,324539E-08
-0,15;6,365467E-08
-0,1;7,481438E-08
-0,05;8,652237E-08
0;9,879004E-08
0,05;1,112429E-07
0,1;1,240593E-07
0,15;1,370532E-07
0,2;1,503124E-07
0,25;1,637817E-07
0,3;1,774139E-07
0,35;1,912124E-07
0,4;2,051434E-07
0,45;2,19259E-07
0,5;2,336578E-07
0,55;2,482215E-07
0,6;2,631326E-07
0,65;2,784361E-07
0,7;2,941628E-07
0,75;3,101806E-07
0,8;3,26611E-07
0,85;3,433597E-07
0,9;3,603051E-07
0,95;3,773274E-07
1;3,943013E-07
1,05;4,112179E-07
1,1;4,279887E-07
1,15;4,445326E-07
1,2;4,608519E-07
1,25;4,769234E-07
1,3;4,926335E-07
1,35;5,079349E-07
1,4;5,230041E-07
1,45;5,377042E-07
1,5;5,519055E-07
1,55;5,658321E-07
1,6;5,792887E-07
1,65;5,92389E-07
1,7;6,051807E-07
1,75;6,175797E-07
1,8;6,296452E-07
1,85;6,414708E-07
1,9;6,528305E-07
1,95;6,63918E-07
2;6,748229E-07
2,05;6,853771E-07
2,1;6,956684E-07
2,15;7,056816E-07
2,2;7,154421E-07
2,25;7,250005E-07
2,3;7,343576E-07
2,35;7,434789E-07
2,4;7,523765E-07
2,45;7,610919E-07
2,5;7,696286E-07
2,55;7,778856E-07
2,6;7,860149E-07
2,65;7,938851E-07
2,7;8,016905E-07
2,75;8,092152E-07
2,8;8,165163E-07
2,85;8,235972E-07
2,9;8,305502E-07
2,95;8,372756E-07
3;8,437998E-07
3,05;8,501027E-07
3,1;8,562237E-07
3,15;8,622541E-07
3,2;8,680885E-07
3,25;8,737752E-07
3,3;8,79357E-07
3,35;8,847763E-07
3,4;8,901401E-07
3,45;8,954158E-07
3,5;9,006914E-07
3,55;9,058326E-07
3,6;9,110756E-07
3,65;9,160239E-07
3,7;9,210267E-07
3,75;9,260003E-07
3,8;9,310101E-07
3,85;9,359563E-07
3,9;9,408535E-07
3,95;9,457295E-07
4;9,50556E-07
4,05;9,554254E-07
4,1;9,602039E-07
4,15;9,648228E-07
4,2;9,695707E-07
4,25;9,742192E-07
4,3;9,78796E-07
4,35;9,833927E-07
4,4;9,878897E-07
4,45;9,923436E-07
4,5;9,967237E-07
4,55;1,001036E-06
4,6;1,005295E-06
4,65;1,009512E-06
4,7;1,013645E-06
4,75;1,017706E-06
4,8;1,021682E-06
4,85;1,025564E-06
4,9;1,029481E-06
4,95;1,033206E-06
5;1,036914E-06
