Tensao [V];Corrente [A]
-5;-1,494236E-09
-4,95;-1,461112E-09
-4,9;-1,442015E-09
-4,85;-1,428782E-09
-4,8;-1,413706E-09
-4,75;-1,400455E-09
-4,7;-1,389333E-09
-4,65;-1,377552E-09
-4,6;-1,365314E-09
-4,55;-1,355342E-09
-4,5;-1,346101E-09
-4,45;-1,335365E-09
-4,4;-1,325457E-09
-4,35;-1,31469E-09
-4,3;-1,305235E-09
-4,25;-1,297523E-09
-4,2;-1,287495E-09
-4,15;-1,278196E-09
-4,1;-1,266769E-09
-4,05;-1,258662E-09
-4;-1,249809E-09
-3,95;-1,238946E-09
-3,9;-1,229154E-09
-3,85;-1,220137E-09
-3,8;-1,20985E-09
-3,75;-1,199571E-09
-3,7;-1,189056E-09
-3,65;-1,181339E-09
-3,6;-1,171781E-09
-3,55;-1,162179E-09
-3,5;-1,149874E-09
-3,45;-1,143034E-09
-3,4;-1,132382E-09
-3,35;-1,120223E-09
-3,3;-1,108659E-09
-3,25;-1,099196E-09
-3,2;-1,090483E-09
-3,15;-1,079419E-09
-3,1;-1,066616E-09
-3,05;-1,05907E-09
-3;-1,048099E-09
-2,95;-1,032207E-09
-2,9;-1,019369E-09
-2,85;-1,006827E-09
-2,8;-9,964635E-10
-2,75;-9,84448E-10
-2,7;-9,681953E-10
-2,65;-9,552583E-10
-2,6;-9,446611E-10
-2,55;-9,263748E-10
-2,5;-9,072469E-10
-2,45;-8,92322E-10
-2,4;-8,778997E-10
-2,35;-8,549249E-10
-2,3;-8,271316E-10
-2,25;-7,990837E-10
-2,2;-7,652528E-10
-2,15;-7,19877E-10
-2,1;-6,63426E-10
-2,05;-5,983831E-10
-2;-5,176316E-10
-1,95;-4,157962E-10
-1,9;-2,918306E-10
-1,85;-1,46383E-10
-1,8;2,512331E-11
-1,75;2,297947E-10
-1,7;4,665078E-10
-1,65;7,375771E-10
-1,6;1,052877E-09
-1,55;1,420969E-09
-1,5;1,859599E-09
-1,45;2,581871E-09
-1,4;3,068371E-09
-1,35;3,915928E-09
-1,3;5,038141E-09
-1,25;6,510831E-09
-1,2;8,437816E-09
-1,15;1,093886E-08
-1,1;1,414291E-08
-1,05;1,821239E-08
-1;2,592029E-08
-0,95;3,284914E-08
-0,9;4,120987E-08
-0,85;5,129118E-08
-0,8;6,323092E-08
-0,75;7,712411E-08
-0,7;9,323056E-08
-0,65;1,118442E-07
-0,6;1,332514E-07
-0,55;1,579169E-07
-0,5;1,859745E-07
-0,45;2,176037E-07
-0,4;2,526426E-07
-0,35;2,905828E-07
-0,3;3,309618E-07
-0,25;3,734902E-07
-0,2;4,173359E-07
-0,15;4,622992E-07
-0,1;5,0811E-07
-0,05;5,546664E-07
0;6,02144E-07
0,05;6,501537E-07
0,1;6,984814E-07
0,15;7,473172E-07
0,2;7,966992E-07
0,25;8,464372E-07
0,3;8,96748E-07
0,35;9,472138E-07
0,4;9,980043E-07
0,45;1,048999E-06
0,5;1,100132E-06
0,55;1,1516E-06
0,6;1,203006E-06
0,65;1,254292E-06
0,7;1,305366E-06
0,75;1,356087E-06
0,8;1,40668E-06
0,85;1,456461E-06
0,9;1,505558E-06
0,95;1,5539E-06
1;1,601414E-06
1,05;1,648142E-06
1,1;1,693466E-06
1,15;1,737806E-06
1,2;1,781089E-06
1,25;1,823251E-06
1,3;1,864384E-06
1,35;1,904284E-06
1,4;1,943148E-06
1,45;1,980914E-06
1,5;2,017462E-06
1,55;2,053033E-06
1,6;2,087605E-06
1,65;2,121092E-06
1,7;2,153526E-06
1,75;2,184733E-06
1,8;2,214972E-06
1,85;2,244851E-06
1,9;2,273384E-06
1,95;2,301056E-06
2;2,327723E-06
2,05;2,354189E-06
2,1;2,379376E-06
2,15;2,403963E-06
2,2;2,42791E-06
2,25;2,451255E-06
2,3;2,473872E-06
2,35;2,495814E-06
2,4;2,517164E-06
2,45;2,538114E-06
2,5;2,558452E-06
2,55;2,57812E-06
2,6;2,59724E-06
2,65;2,616072E-06
2,7;2,634178E-06
2,75;2,651678E-06
2,8;2,66888E-06
2,85;2,685832E-06
2,9;2,701966E-06
2,95;2,717989E-06
3;2,733624E-06
3,05;2,74873E-06
3,1;2,76404E-06
3,15;2,778595E-06
3,2;2,792938E-06
3,25;2,80723E-06
3,3;2,82116E-06
3,35;2,834776E-06
3,4;2,848468E-06
3,45;2,861871E-06
3,5;2,875059E-06
3,55;2,887935E-06
3,6;2,900772E-06
3,65;2,913574E-06
3,7;2,926135E-06
3,75;2,938726E-06
3,8;2,950897E-06
3,85;2,963321E-06
3,9;2,975559E-06
3,95;2,987707E-06
4;2,999983E-06
4,05;3,012206E-06
4,1;3,024318E-06
4,15;3,036389E-06
4,2;3,048201E-06
4,25;3,059936E-06
4,3;3,071746E-06
4,35;3,083306E-06
4,4;3,095116E-06
4,45;3,106525E-06
4,5;3,117973E-06
4,55;3,129217E-06
4,6;3,140288E-06
4,65;3,151496E-06
4,7;3,162541E-06
4,75;3,173488E-06
4,8;3,184157E-06
4,85;3,19484E-06
4,9;3,205522E-06
4,95;3,216054E-06
5;3,226246E-06
