Tensao [V];Corrente [A]
-5;-1,498492E-09
-4,95;-1,466169E-09
-4,9;-1,446105E-09
-4,85;-1,430481E-09
-4,8;-1,41614E-09
-4,75;-1,402527E-09
-4,7;-1,389021E-09
-4,65;-1,380188E-09
-4,6;-1,370189E-09
-4,55;-1,35913E-09
-4,5;-1,349794E-09
-4,45;-1,340182E-09
-4,4;-1,332697E-09
-4,35;-1,323055E-09
-4,3;-1,312281E-09
-4,25;-1,301863E-09
-4,2;-1,293346E-09
-4,15;-1,282813E-09
-4,1;-1,273079E-09
-4,05;-1,262819E-09
-4;-1,251536E-09
-3,95;-1,24029E-09
-3,9;-1,229511E-09
-3,85;-1,22176E-09
-3,8;-1,211261E-09
-3,75;-1,201993E-09
-3,7;-1,192054E-09
-3,65;-1,185396E-09
-3,6;-1,175805E-09
-3,55;-1,162946E-09
-3,5;-1,152108E-09
-3,45;-1,148973E-09
-3,4;-1,16731E-09
-3,35;-1,142705E-09
-3,3;-1,12703E-09
-3,25;-1,11361E-09
-3,2;-1,102154E-09
-3,15;-1,091461E-09
-3,1;-1,079258E-09
-3,05;-1,066232E-09
-3;-1,054553E-09
-2,95;-1,043006E-09
-2,9;-1,029833E-09
-2,85;-1,01717E-09
-2,8;-1,007193E-09
-2,75;-9,947712E-10
-2,7;-9,806409E-10
-2,65;-9,672934E-10
-2,6;-9,527158E-10
-2,55;-9,370326E-10
-2,5;-9,188867E-10
-2,45;-9,01889E-10
-2,4;-8,824436E-10
-2,35;-8,630013E-10
-2,3;-8,403883E-10
-2,25;-8,082275E-10
-2,2;-7,722844E-10
-2,15;-7,2839E-10
-2,1;-6,735958E-10
-2,05;-6,056385E-10
-2;-5,247953E-10
-1,95;-4,263705E-10
-1,9;-3,052544E-10
-1,85;-1,582413E-10
-1,8;1,371334E-11
-1,75;2,146607E-10
-1,7;4,515562E-10
-1,65;7,239852E-10
-1,6;1,04083E-09
-1,55;1,408768E-09
-1,5;1,845904E-09
-1,45;2,458112E-09
-1,4;3,044006E-09
-1,35;3,899609E-09
-1,3;5,020784E-09
-1,25;6,490921E-09
-1,2;8,413137E-09
-1,15;1,091401E-08
-1,1;1,411687E-08
-1,05;1,817814E-08
-1;2,58714E-08
-0,95;3,277885E-08
-0,9;4,116678E-08
-0,85;5,121425E-08
-0,8;6,312287E-08
-0,75;7,698513E-08
-0,7;9,311326E-08
-0,65;1,117021E-07
-0,6;1,330569E-07
-0,55;1,576999E-07
-0,5;1,857477E-07
-0,45;2,173284E-07
-0,4;2,523249E-07
-0,35;2,902602E-07
-0,3;3,306189E-07
-0,25;3,730707E-07
-0,2;4,168646E-07
-0,15;4,617981E-07
-0,1;5,075946E-07
-0,05;5,540734E-07
0;6,01538E-07
0,05;6,495168E-07
0,1;6,978107E-07
0,15;7,466796E-07
0,2;7,959031E-07
0,25;8,456317E-07
0,3;8,959111E-07
0,35;9,463444E-07
0,4;9,970516E-07
0,45;1,047998E-06
0,5;1,099106E-06
0,55;1,150564E-06
0,6;1,201858E-06
0,65;1,253114E-06
0,7;1,304124E-06
0,75;1,354825E-06
0,8;1,405315E-06
0,85;1,455026E-06
0,9;1,504143E-06
0,95;1,552393E-06
1;1,599868E-06
1,05;1,646466E-06
1,1;1,691831E-06
1,15;1,736116E-06
1,2;1,779334E-06
1,25;1,821373E-06
1,3;1,862475E-06
1,35;1,902351E-06
1,4;1,941102E-06
1,45;1,978853E-06
1,5;2,015357E-06
1,55;2,050881E-06
1,6;2,085366E-06
1,65;2,11875E-06
1,7;2,151146E-06
1,75;2,182565E-06
1,8;2,212919E-06
1,85;2,242482E-06
1,9;2,270954E-06
1,95;2,298512E-06
2;2,325454E-06
2,05;2,351609E-06
2,1;2,376933E-06
2,15;2,401343E-06
2,2;2,425292E-06
2,25;2,448535E-06
2,3;2,471115E-06
2,35;2,493119E-06
2,4;2,514545E-06
2,45;2,53542E-06
2,5;2,555631E-06
2,55;2,575301E-06
2,6;2,594422E-06
2,65;2,61304E-06
2,7;2,631192E-06
2,75;2,64891E-06
2,8;2,665719E-06
2,85;2,682773E-06
2,9;2,699098E-06
2,95;2,714929E-06
3;2,73049E-06
3,05;2,745888E-06
3,1;2,760618E-06
3,15;2,775412E-06
3,2;2,78992E-06
3,25;2,803934E-06
3,3;2,817876E-06
3,35;2,831793E-06
3,4;2,845281E-06
3,45;2,858512E-06
3,5;2,871839E-06
3,55;2,8846E-06
3,6;2,89759E-06
3,65;2,910128E-06
3,7;2,922879E-06
3,75;2,935339E-06
3,8;2,947791E-06
3,85;2,960026E-06
3,9;2,972314E-06
3,95;2,984701E-06
4;2,996647E-06
4,05;3,008822E-06
4,1;3,02072E-06
4,15;3,03273E-06
4,2;3,044818E-06
4,25;3,05663E-06
4,3;3,068212E-06
4,35;3,079835E-06
4,4;3,091547E-06
4,45;3,103029E-06
4,5;3,114488E-06
4,55;3,125886E-06
4,6;3,136955E-06
4,65;3,148101E-06
4,7;3,159035E-06
4,75;3,169943E-06
4,8;3,180676E-06
4,85;3,191484E-06
4,9;3,201901E-06
4,95;3,212318E-06
5;3,222714E-06
