Tensao [V];Corrente [A]
-5;-1,072331E-09
-4,95;-1,032011E-09
-4,9;-9,941532E-10
-4,85;-9,717325E-10
-4,8;-9,453515E-10
-4,75;-9,290993E-10
-4,7;-9,135576E-10
-4,65;-8,960092E-10
-4,6;-8,811995E-10
-4,55;-8,659924E-10
-4,5;-8,546319E-10
-4,45;-8,468434E-10
-4,4;-8,304118E-10
-4,35;-8,162549E-10
-4,3;-8,05317E-10
-4,25;-7,917138E-10
-4,2;-7,784051E-10
-4,15;-7,655238E-10
-4,1;-7,547246E-10
-4,05;-7,467236E-10
-4;-7,300673E-10
-3,95;-7,187497E-10
-3,9;-7,080529E-10
-3,85;-6,969225E-10
-3,8;-6,875033E-10
-3,75;-6,740182E-10
-3,7;-6,661416E-10
-3,65;-6,581554E-10
-3,6;-6,42316E-10
-3,55;-6,264768E-10
-3,5;-6,203163E-10
-3,45;-6,097786E-10
-3,4;-5,969218E-10
-3,35;-5,857581E-10
-3,3;-5,75676E-10
-3,25;-5,6707E-10
-3,2;-5,518887E-10
-3,15;-5,404143E-10
-3,1;-5,293085E-10
-3,05;-5,18161E-10
-3;-5,031999E-10
-2,95;-4,850506E-10
-2,9;-4,811707E-10
-2,85;-4,651431E-10
-2,8;-4,47874E-10
-2,75;-4,286516E-10
-2,7;-4,160549E-10
-2,65;-3,992347E-10
-2,6;-3,787578E-10
-2,55;-3,562937E-10
-2,5;-3,335585E-10
-2,45;-3,137679E-10
-2,4;-2,84749E-10
-2,35;-2,587105E-10
-2,3;-2,239329E-10
-2,25;-1,95121E-10
-2,2;-1,54612E-10
-2,15;-1,141117E-10
-2,1;-7,017626E-11
-2,05;-3,505752E-11
-2;1,425872E-11
-1,95;6,072489E-11
-1,9;1,048464E-10
-1,85;1,485379E-10
-1,8;1,994323E-10
-1,75;2,478465E-10
-1,7;2,960042E-10
-1,65;3,44957E-10
-1,6;3,98684E-10
-1,55;4,494341E-10
-1,5;5,020685E-10
-1,45;5,563461E-10
-1,4;6,143593E-10
-1,35;6,819886E-10
-1,3;7,434441E-10
-1,25;8,063602E-10
-1,2;8,783849E-10
-1,15;9,525175E-10
-1,1;1,03351E-09
-1,05;1,113945E-09
-1;1,213445E-09
-0,95;1,32475E-09
-0,9;1,451337E-09
-0,85;1,600949E-09
-0,8;1,810314E-09
-0,75;2,092065E-09
-0,7;2,59158E-09
-0,65;3,076067E-09
-0,6;3,964328E-09
-0,55;5,289758E-09
-0,5;7,214307E-09
-0,45;9,916453E-09
-0,4;1,34912E-08
-0,35;1,793803E-08
-0,3;2,58789E-08
-0,25;3,227362E-08
-0,2;3,935671E-08
-0,15;4,712065E-08
-0,1;5,555009E-08
-0,05;6,437175E-08
0;7,356671E-08
0,05;8,286511E-08
0,1;9,24199E-08
0,15;1,021168E-07
0,2;1,119475E-07
0,25;1,218717E-07
0,3;1,318957E-07
0,35;1,420776E-07
0,4;1,523608E-07
0,45;1,627142E-07
0,5;1,732308E-07
0,55;1,83948E-07
0,6;1,949208E-07
0,65;2,060963E-07
0,7;2,175602E-07
0,75;2,293607E-07
0,8;2,413575E-07
0,85;2,535721E-07
0,9;2,659338E-07
0,95;2,7838E-07
1;2,907935E-07
1,05;3,030493E-07
1,1;3,152884E-07
1,15;3,274182E-07
1,2;3,392005E-07
1,25;3,509018E-07
1,3;3,62384E-07
1,35;3,736308E-07
1,4;3,846051E-07
1,45;3,953166E-07
1,5;4,057044E-07
1,55;4,158224E-07
1,6;4,256452E-07
1,65;4,351417E-07
1,7;4,444151E-07
1,75;4,534718E-07
1,8;4,621738E-07
1,85;4,707539E-07
1,9;4,791041E-07
1,95;4,871735E-07
2;4,950056E-07
2,05;5,027429E-07
2,1;5,1026E-07
2,15;5,17631E-07
2,2;5,248704E-07
2,25;5,318826E-07
2,3;5,387215E-07
2,35;5,454592E-07
2,4;5,520387E-07
2,45;5,584396E-07
2,5;5,647014E-07
2,55;5,709274E-07
2,6;5,768708E-07
2,65;5,826773E-07
2,7;5,883261E-07
2,75;5,939166E-07
2,8;5,993783E-07
2,85;6,045383E-07
2,9;6,096486E-07
2,95;6,145715E-07
3;6,193775E-07
3,05;6,241331E-07
3,1;6,285915E-07
3,15;6,330143E-07
3,2;6,373431E-07
3,25;6,415049E-07
3,3;6,456722E-07
3,35;6,497407E-07
3,4;6,537069E-07
3,45;6,576342E-07
3,5;6,615376E-07
3,55;6,653681E-07
3,6;6,691428E-07
3,65;6,728743E-07
3,7;6,766488E-07
3,75;6,803365E-07
3,8;6,840081E-07
3,85;6,876737E-07
3,9;6,913033E-07
3,95;6,949555E-07
4;6,984843E-07
4,05;7,020213E-07
4,1;7,055648E-07
4,15;7,090974E-07
4,2;7,125403E-07
4,25;7,160085E-07
4,3;7,194267E-07
4,35;7,22828E-07
4,4;7,261626E-07
4,45;7,294777E-07
4,5;7,327061E-07
4,55;7,359617E-07
4,6;7,391558E-07
4,65;7,422694E-07
4,7;7,453384E-07
4,75;7,48362E-07
4,8;7,513168E-07
4,85;7,542292E-07
4,9;7,570765E-07
4,95;7,599257E-07
5;7,626139E-07
