Tensao [V];Corrente [A]
-5;-1,497159E-09
-4,95;-1,462936E-09
-4,9;-1,442726E-09
-4,85;-1,425835E-09
-4,8;-1,411605E-09
-4,75;-1,402027E-09
-4,7;-1,388996E-09
-4,65;-1,37862E-09
-4,6;-1,368895E-09
-4,55;-1,360521E-09
-4,5;-1,34617E-09
-4,45;-1,337809E-09
-4,4;-1,334415E-09
-4,35;-1,320637E-09
-4,3;-1,310227E-09
-4,25;-1,297323E-09
-4,2;-1,289112E-09
-4,15;-1,276528E-09
-4,1;-1,270501E-09
-4,05;-1,261133E-09
-4;-1,251702E-09
-3,95;-1,244273E-09
-3,9;-1,235175E-09
-3,85;-1,227751E-09
-3,8;-1,218775E-09
-3,75;-1,207316E-09
-3,7;-1,198536E-09
-3,65;-1,192735E-09
-3,6;-1,180436E-09
-3,55;-1,172525E-09
-3,5;-1,162903E-09
-3,45;-1,154595E-09
-3,4;-1,144155E-09
-3,35;-1,135624E-09
-3,3;-1,123927E-09
-3,25;-1,114173E-09
-3,2;-1,105808E-09
-3,15;-1,098747E-09
-3,1;-1,089041E-09
-3,05;-1,078108E-09
-3;-1,075646E-09
-2,95;-1,062219E-09
-2,9;-1,050037E-09
-2,85;-1,039746E-09
-2,8;-1,032042E-09
-2,75;-1,020964E-09
-2,7;-1,011117E-09
-2,65;-1,000555E-09
-2,6;-9,903144E-10
-2,55;-9,776202E-10
-2,5;-9,717692E-10
-2,45;-9,567015E-10
-2,4;-9,465101E-10
-2,35;-9,358457E-10
-2,3;-9,23815E-10
-2,25;-9,117777E-10
-2,2;-9,021193E-10
-2,15;-8,913569E-10
-2,1;-8,739667E-10
-2,05;-8,623144E-10
-2;-8,52679E-10
-1,95;-8,399658E-10
-1,9;-8,25133E-10
-1,85;-8,108303E-10
-1,8;-7,977105E-10
-1,75;-7,836607E-10
-1,7;-7,681529E-10
-1,65;-7,487813E-10
-1,6;-7,35738E-10
-1,55;-7,122433E-10
-1,5;-6,877294E-10
-1,45;-6,561496E-10
-1,4;-6,158046E-10
-1,35;-5,605365E-10
-1,3;-4,775935E-10
-1,25;-3,574477E-10
-1,2;-1,870796E-10
-1,15;5,774667E-11
-1,1;3,975669E-10
-1,05;8,724523E-10
-1;1,526571E-09
-0,95;2,883034E-09
-0,9;3,782297E-09
-0,85;5,691714E-09
-0,8;8,683146E-09
-0,75;1,336726E-08
-0,7;2,481689E-08
-0,65;3,899775E-08
-0,6;6,160331E-08
-0,55;9,657322E-08
-0,5;1,481153E-07
-0,45;2,175035E-07
-0,4;3,010681E-07
-0,35;3,935463E-07
-0,3;4,909793E-07
-0,25;5,917951E-07
-0,2;6,943186E-07
-0,15;7,985886E-07
-0,1;9,044659E-07
-0,05;1,01182E-06
0;1,121573E-06
0,05;1,232353E-06
0,1;1,344137E-06
0,15;1,457135E-06
0,2;1,571428E-06
0,25;1,687215E-06
0,3;1,80503E-06
0,35;1,923957E-06
0,4;2,044336E-06
0,45;2,166379E-06
0,5;2,290658E-06
0,55;2,417318E-06
0,6;2,545221E-06
0,65;2,67503E-06
0,7;2,806695E-06
0,75;2,939898E-06
0,8;3,07441E-06
0,85;3,209069E-06
0,9;3,344243E-06
0,95;3,479531E-06
1;3,614531E-06
1,05;3,749628E-06
1,1;3,883551E-06
1,15;4,016469E-06
1,2;4,148021E-06
1,25;4,278728E-06
1,3;4,40855E-06
1,35;4,536242E-06
1,4;4,662688E-06
1,45;4,787317E-06
1,5;4,910743E-06
1,55;5,032381E-06
1,6;5,152892E-06
1,65;5,270789E-06
1,7;5,387186E-06
1,75;5,501184E-06
1,8;5,614011E-06
1,85;5,724949E-06
1,9;5,833522E-06
1,95;5,940168E-06
2;6,044551E-06
2,05;6,146607E-06
2,1;6,247329E-06
2,15;6,344549E-06
2,2;6,439428E-06
2,25;6,532088E-06
2,3;6,62211E-06
2,35;6,709765E-06
2,4;6,794111E-06
2,45;6,875596E-06
2,5;6,953827E-06
2,55;7,030356E-06
2,6;7,104354E-06
2,65;7,175361E-06
2,7;7,243417E-06
2,75;7,308521E-06
2,8;7,370295E-06
2,85;7,430584E-06
2,9;7,486884E-06
2,95;7,540364E-06
3;7,591798E-06
3,05;7,64063E-06
3,1;7,686252E-06
3,15;7,730072E-06
3,2;7,772441E-06
3,25;7,812165E-06
3,3;7,849895E-06
3,35;7,886265E-06
3,4;7,920203E-06
3,45;7,953367E-06
3,5;7,985341E-06
3,55;8,015745E-06
3,6;8,045216E-06
3,65;8,074137E-06
3,7;8,101773E-06
3,75;8,12722E-06
3,8;8,153476E-06
3,85;8,179289E-06
3,9;8,204469E-06
3,95;8,22882E-06
4;8,253297E-06
4,05;8,277373E-06
4,1;8,300866E-06
4,15;8,323729E-06
4,2;8,346715E-06
4,25;8,369829E-06
4,3;8,392094E-06
4,35;8,414847E-06
4,4;8,436814E-06
4,45;8,458811E-06
4,5;8,479448E-06
4,55;8,500259E-06
4,6;8,520857E-06
4,65;8,542047E-06
4,7;8,562623E-06
4,75;8,582772E-06
4,8;8,602397E-06
4,85;8,622173E-06
4,9;8,640476E-06
4,95;8,660022E-06
5;8,678536E-06
