Tensao [V];Corrente [A]
-5;-5,195251E-09
-4,95;-5,164594E-09
-4,9;-5,143167E-09
-4,85;-5,125527E-09
-4,8;-5,111377E-09
-4,75;-5,096829E-09
-4,7;-5,082669E-09
-4,65;-5,072068E-09
-4,6;-5,061721E-09
-4,55;-5,051385E-09
-4,5;-5,041097E-09
-4,45;-5,032866E-09
-4,4;-5,024299E-09
-4,35;-5,01473E-09
-4,3;-5,004747E-09
-4,25;-4,99448E-09
-4,2;-4,985845E-09
-4,15;-4,974816E-09
-4,1;-4,965121E-09
-4,05;-4,956062E-09
-4;-4,947826E-09
-3,95;-4,937024E-09
-3,9;-4,926676E-09
-3,85;-4,920637E-09
-3,8;-4,910605E-09
-3,75;-4,901068E-09
-3,7;-4,888875E-09
-3,65;-4,877957E-09
-3,6;-4,868179E-09
-3,55;-4,856948E-09
-3,5;-4,844373E-09
-3,45;-4,833433E-09
-3,4;-4,821851E-09
-3,35;-4,812295E-09
-3,3;-4,796398E-09
-3,25;-4,783814E-09
-3,2;-4,770893E-09
-3,15;-4,756453E-09
-3,1;-4,739445E-09
-3,05;-4,722081E-09
-3;-4,704058E-09
-2,95;-4,689511E-09
-2,9;-4,668654E-09
-2,85;-4,647846E-09
-2,8;-4,629591E-09
-2,75;-4,608664E-09
-2,7;-4,582019E-09
-2,65;-4,555275E-09
-2,6;-4,527946E-09
-2,55;-4,497143E-09
-2,5;-4,459255E-09
-2,45;-4,416028E-09
-2,4;-4,367518E-09
-2,35;-4,308655E-09
-2,3;-4,234435E-09
-2,25;-4,140706E-09
-2,2;-4,023704E-09
-2,15;-3,872859E-09
-2,1;-3,674498E-09
-2,05;-3,414867E-09
-2;-3,08651E-09
-1,95;-2,673142E-09
-1,9;-2,153832E-09
-1,85;-1,224646E-09
-1,8;-7,180743E-10
-1,75;1,867902E-10
-1,7;1,282442E-09
-1,65;3,120654E-09
-1,6;4,14236E-09
-1,55;5,882335E-09
-1,5;8,007662E-09
-1,45;1,059614E-08
-1,4;1,381073E-08
-1,35;1,790216E-08
-1,3;2,591446E-08
-1,25;3,363328E-08
-1,2;4,3637E-08
-1,15;5,652014E-08
-1,1;7,297501E-08
-1,05;9,379799E-08
-1;1,198266E-07
-0,95;1,520612E-07
-0,9;1,912039E-07
-0,85;2,377958E-07
-0,8;2,930017E-07
-0,75;3,561523E-07
-0,7;4,272819E-07
-0,65;5,063146E-07
-0,6;5,931031E-07
-0,55;6,873532E-07
-0,5;7,870417E-07
-0,45;8,918338E-07
-0,4;1,001215E-06
-0,35;1,114747E-06
-0,3;1,232117E-06
-0,25;1,35369E-06
-0,2;1,478398E-06
-0,15;1,606663E-06
-0,1;1,738234E-06
-0,05;1,873109E-06
0;2,011993E-06
0,05;2,153825E-06
0,1;2,298217E-06
0,15;2,445606E-06
0,2;2,596014E-06
0,25;2,74926E-06
0,3;2,906514E-06
0,35;3,065703E-06
0,4;3,227735E-06
0,45;3,392549E-06
0,5;3,55986E-06
0,55;3,72987E-06
0,6;3,901165E-06
0,65;4,074166E-06
0,7;4,248538E-06
0,75;4,424019E-06
0,8;4,60096E-06
0,85;4,777824E-06
0,9;4,954989E-06
0,95;5,132255E-06
1;5,309785E-06
1,05;5,487652E-06
1,1;5,664261E-06
1,15;5,841186E-06
1,2;6,017628E-06
1,25;6,193539E-06
1,3;6,369687E-06
1,35;6,544484E-06
1,4;6,718918E-06
1,45;6,892678E-06
1,5;7,066024E-06
1,55;7,238801E-06
1,6;7,411715E-06
1,65;7,583015E-06
1,7;7,754104E-06
1,75;7,924402E-06
1,8;8,094439E-06
1,85;8,264059E-06
1,9;8,432765E-06
1,95;8,600316E-06
2;8,767867E-06
2,05;8,934109E-06
2,1;9,100519E-06
2,15;9,265248E-06
2,2;9,429089E-06
2,25;9,591767E-06
2,3;9,753248E-06
2,35;9,914388E-06
2,4;1,007337E-05
2,45;1,023136E-05
2,5;1,038759E-05
2,55;1,054281E-05
2,6;1,069725E-05
2,65;1,084968E-05
2,7;1,100045E-05
2,75;1,11499E-05
2,8;1,129797E-05
2,85;1,144503E-05
2,9;1,159017E-05
2,95;1,173357E-05
3;1,187546E-05
3,05;1,201554E-05
3,1;1,215498E-05
3,15;1,229188E-05
3,2;1,242739E-05
3,25;1,256132E-05
3,3;1,269381E-05
3,35;1,282528E-05
3,4;1,295466E-05
3,45;1,3082E-05
3,5;1,32081E-05
3,55;1,333274E-05
3,6;1,345597E-05
3,65;1,357663E-05
3,7;1,369606E-05
3,75;1,381402E-05
3,8;1,393017E-05
3,85;1,404454E-05
3,9;1,415811E-05
3,95;1,426863E-05
4;1,437795E-05
4,05;1,448592E-05
4,1;1,459193E-05
4,15;1,469646E-05
4,2;1,479869E-05
4,25;1,489928E-05
4,3;1,499789E-05
4,35;1,509428E-05
4,4;1,5189E-05
4,45;1,528148E-05
4,5;1,537161E-05
4,55;1,545972E-05
4,6;1,554529E-05
4,65;1,56291E-05
4,7;1,571E-05
4,75;1,578837E-05
4,8;1,586491E-05
4,85;1,593888E-05
4,9;1,601081E-05
4,95;1,608039E-05
5;1,614751E-05
