Tensao [V];Corrente [A]
-5;-5,127516E-09
-4,95;-5,165144E-09
-4,9;-5,15107E-09
-4,85;-5,134952E-09
-4,8;-5,123528E-09
-4,75;-5,109416E-09
-4,7;-5,096124E-09
-4,65;-5,083925E-09
-4,6;-5,076587E-09
-4,55;-5,06436E-09
-4,5;-5,052342E-09
-4,45;-5,04176E-09
-4,4;-5,030603E-09
-4,35;-5,02377E-09
-4,3;-5,014066E-09
-4,25;-5,004613E-09
-4,2;-4,994621E-09
-4,15;-4,985773E-09
-4,1;-4,977221E-09
-4,05;-4,967438E-09
-4;-4,958021E-09
-3,95;-4,946543E-09
-3,9;-4,937813E-09
-3,85;-4,928899E-09
-3,8;-4,918264E-09
-3,75;-4,907041E-09
-3,7;-4,896441E-09
-3,65;-4,883997E-09
-3,6;-4,868346E-09
-3,55;-4,859367E-09
-3,5;-4,850749E-09
-3,45;-4,841127E-09
-3,4;-4,831314E-09
-3,35;-4,820357E-09
-3,3;-4,810257E-09
-3,25;-4,794535E-09
-3,2;-4,78199E-09
-3,15;-4,766632E-09
-3,1;-4,752104E-09
-3,05;-4,734592E-09
-3;-4,716897E-09
-2,95;-4,699241E-09
-2,9;-4,680778E-09
-2,85;-4,662546E-09
-2,8;-4,641727E-09
-2,75;-4,616224E-09
-2,7;-4,593495E-09
-2,65;-4,567136E-09
-2,6;-4,536337E-09
-2,55;-4,501585E-09
-2,5;-4,466542E-09
-2,45;-4,427419E-09
-2,4;-4,377505E-09
-2,35;-4,317995E-09
-2,3;-4,243454E-09
-2,25;-4,153733E-09
-2,2;-4,034004E-09
-2,15;-3,879645E-09
-2,1;-3,680452E-09
-2,05;-3,423687E-09
-2;-3,095949E-09
-1,95;-2,67787E-09
-1,9;-2,158539E-09
-1,85;-1,232752E-09
-1,8;-7,259601E-10
-1,75;1,727241E-10
-1,7;1,275924E-09
-1,65;3,228982E-09
-1,6;4,157447E-09
-1,55;5,894483E-09
-1,5;8,020266E-09
-1,45;1,060307E-08
-1,4;1,382674E-08
-1,35;1,792445E-08
-1,3;2,596036E-08
-1,25;3,366916E-08
-1,2;4,371503E-08
-1,15;5,663454E-08
-1,1;7,30568E-08
-1,05;9,390967E-08
-1;1,200034E-07
-0,95;1,523097E-07
-0,9;1,914729E-07
-0,85;2,381738E-07
-0,8;2,934705E-07
-0,75;3,567015E-07
-0,7;4,279092E-07
-0,65;5,071067E-07
-0,6;5,940252E-07
-0,55;6,882983E-07
-0,5;7,881107E-07
-0,45;8,930569E-07
-0,4;1,002572E-06
-0,35;1,116135E-06
-0,3;1,233635E-06
-0,25;1,355306E-06
-0,2;1,480218E-06
-0,15;1,608542E-06
-0,1;1,740208E-06
-0,05;1,875272E-06
0;2,014285E-06
0,05;2,156246E-06
0,1;2,300952E-06
0,15;2,448341E-06
0,2;2,598965E-06
0,25;2,752383E-06
0,3;2,909802E-06
0,35;3,069039E-06
0,4;3,231246E-06
0,45;3,396401E-06
0,5;3,563736E-06
0,55;3,734105E-06
0,6;3,905528E-06
0,65;4,078594E-06
0,7;4,253177E-06
0,75;4,42895E-06
0,8;4,605926E-06
0,85;4,782765E-06
0,9;4,960408E-06
0,95;5,13767E-06
1;5,315387E-06
1,05;5,493482E-06
1,1;5,670773E-06
1,15;5,847751E-06
1,2;6,023985E-06
1,25;6,200188E-06
1,3;6,376577E-06
1,35;6,551707E-06
1,4;6,72605E-06
1,45;6,899939E-06
1,5;7,073671E-06
1,55;7,246727E-06
1,6;7,419581E-06
1,65;7,591168E-06
1,7;7,762576E-06
1,75;7,933126E-06
1,8;8,102985E-06
1,85;8,273054E-06
1,9;8,441877E-06
1,95;8,610048E-06
2;8,777554E-06
2,05;8,94396E-06
2,1;9,110549E-06
2,15;9,275802E-06
2,2;9,439479E-06
2,25;9,602502E-06
2,3;9,764249E-06
2,35;9,92575E-06
2,4;1,008521E-05
2,45;1,024296E-05
2,5;1,039968E-05
2,55;1,055528E-05
2,6;1,070983E-05
2,65;1,086244E-05
2,7;1,10134E-05
2,75;1,116308E-05
2,8;1,131153E-05
2,85;1,145899E-05
2,9;1,160391E-05
2,95;1,174764E-05
3;1,188992E-05
3,05;1,203036E-05
3,1;1,216963E-05
3,15;1,230715E-05
3,2;1,244304E-05
3,25;1,257745E-05
3,3;1,270984E-05
3,35;1,28416E-05
3,4;1,297168E-05
3,45;1,309953E-05
3,5;1,322545E-05
3,55;1,335019E-05
3,6;1,347373E-05
3,65;1,359517E-05
3,7;1,371458E-05
3,75;1,383254E-05
3,8;1,394932E-05
3,85;1,406403E-05
3,9;1,417766E-05
3,95;1,428896E-05
4;1,439881E-05
4,05;1,450684E-05
4,1;1,461297E-05
4,15;1,47176E-05
4,2;1,482055E-05
4,25;1,492148E-05
4,3;1,502008E-05
4,35;1,511684E-05
4,4;1,521223E-05
4,45;1,530511E-05
4,5;1,539543E-05
4,55;1,548345E-05
4,6;1,556927E-05
4,65;1,565316E-05
4,7;1,573461E-05
4,75;1,581382E-05
4,8;1,589027E-05
4,85;1,59649E-05
4,9;1,603683E-05
4,95;1,610669E-05
5;1,617404E-05
