Tensao [V];Corrente [A]
-5;-1,351292E-09
-4,95;-1,312478E-09
-4,9;-1,292821E-09
-4,85;-1,273314E-09
-4,8;-1,259095E-09
-4,75;-1,247922E-09
-4,7;-1,23914E-09
-4,65;-1,225673E-09
-4,6;-1,214372E-09
-4,55;-1,205096E-09
-4,5;-1,194593E-09
-4,45;-1,185158E-09
-4,4;-1,173689E-09
-4,35;-1,16657E-09
-4,3;-1,16232E-09
-4,25;-1,149369E-09
-4,2;-1,140549E-09
-4,15;-1,131328E-09
-4,1;-1,123949E-09
-4,05;-1,112422E-09
-4;-1,10385E-09
-3,95;-1,09772E-09
-3,9;-1,087948E-09
-3,85;-1,079735E-09
-3,8;-1,071603E-09
-3,75;-1,061573E-09
-3,7;-1,054118E-09
-3,65;-1,044557E-09
-3,6;-1,03602E-09
-3,55;-1,023776E-09
-3,5;-1,016357E-09
-3,45;-1,005318E-09
-3,4;-9,969894E-10
-3,35;-9,906812E-10
-3,3;-9,804277E-10
-3,25;-9,72008E-10
-3,2;-9,640505E-10
-3,15;-9,577439E-10
-3,1;-9,460449E-10
-3,05;-9,365609E-10
-3;-9,282275E-10
-2,95;-9,194869E-10
-2,9;-9,127179E-10
-2,85;-8,994432E-10
-2,8;-8,888502E-10
-2,75;-8,794394E-10
-2,7;-8,725356E-10
-2,65;-8,654609E-10
-2,6;-8,520062E-10
-2,55;-8,39703E-10
-2,5;-8,29983E-10
-2,45;-8,217403E-10
-2,4;-8,14146E-10
-2,35;-8,010078E-10
-2,3;-7,913399E-10
-2,25;-7,815213E-10
-2,2;-7,653069E-10
-2,15;-7,566802E-10
-2,1;-7,453821E-10
-2,05;-7,37554E-10
-2;-7,229268E-10
-1,95;-7,100824E-10
-1,9;-6,965079E-10
-1,85;-6,900735E-10
-1,8;-6,776351E-10
-1,75;-6,688696E-10
-1,7;-6,566256E-10
-1,65;-6,310075E-10
-1,6;-6,100561E-10
-1,55;-5,906126E-10
-1,5;-5,741994E-10
-1,45;-5,498175E-10
-1,4;-5,136596E-10
-1,35;-4,67349E-10
-1,3;-4,013252E-10
-1,25;-3,035632E-10
-1,2;-1,750594E-10
-1,15;2,553135E-11
-1,1;3,058335E-10
-1,05;6,987173E-10
-1;1,235768E-09
-0,95;1,978188E-09
-0,9;3,555607E-09
-0,85;4,681776E-09
-0,8;7,076428E-09
-0,75;1,09032E-08
-0,7;1,698444E-08
-0,65;3,189487E-08
-0,6;5,085346E-08
-0,55;8,015278E-08
-0,5;1,236798E-07
-0,45;1,835363E-07
-0,4;2,569413E-07
-0,35;3,39816E-07
-0,3;4,280213E-07
-0,25;5,198632E-07
-0,2;6,133368E-07
-0,15;7,084423E-07
-0,1;8,04883E-07
-0,05;9,026819E-07
0;1,002522E-06
0,05;1,103223E-06
0,1;1,204745E-06
0,15;1,307232E-06
0,2;1,410766E-06
0,25;1,515438E-06
0,3;1,621784E-06
0,35;1,728943E-06
0,4;1,837557E-06
0,45;1,947532E-06
0,5;2,058834E-06
0,55;2,17181E-06
0,6;2,286473E-06
0,65;2,401849E-06
0,7;2,519562E-06
0,75;2,637685E-06
0,8;2,757339E-06
0,85;2,876891E-06
0,9;2,996533E-06
0,95;3,115986E-06
1;3,235101E-06
1,05;3,353991E-06
1,1;3,471425E-06
1,15;3,587855E-06
1,2;3,702743E-06
1,25;3,816619E-06
1,3;3,929046E-06
1,35;4,039274E-06
1,4;4,148082E-06
1,45;4,255109E-06
1,5;4,360407E-06
1,55;4,463572E-06
1,6;4,564918E-06
1,65;4,664008E-06
1,7;4,760293E-06
1,75;4,854619E-06
1,8;4,946874E-06
1,85;5,037339E-06
1,9;5,124868E-06
1,95;5,210331E-06
2;5,293501E-06
2,05;5,374407E-06
2,1;5,452676E-06
2,15;5,528093E-06
2,2;5,601016E-06
2,25;5,671265E-06
2,3;5,739266E-06
2,35;5,804101E-06
2,4;5,866528E-06
2,45;5,926032E-06
2,5;5,983094E-06
2,55;6,037924E-06
2,6;6,090187E-06
2,65;6,140151E-06
2,7;6,187611E-06
2,75;6,232724E-06
2,8;6,275728E-06
2,85;6,316958E-06
2,9;6,355895E-06
2,95;6,393464E-06
3;6,428987E-06
3,05;6,462652E-06
3,1;6,495115E-06
3,15;6,52603E-06
3,2;6,555399E-06
3,25;6,583738E-06
3,3;6,610681E-06
3,35;6,636772E-06
3,4;6,662227E-06
3,45;6,686787E-06
3,5;6,711377E-06
3,55;6,734985E-06
3,6;6,75823E-06
3,65;6,780785E-06
3,7;6,803522E-06
3,75;6,825473E-06
3,8;6,846919E-06
3,85;6,868016E-06
3,9;6,889545E-06
3,95;6,910359E-06
4;6,930994E-06
4,05;6,951613E-06
4,1;6,971844E-06
4,15;6,991884E-06
4,2;7,01182E-06
4,25;7,031389E-06
4,3;7,050773E-06
4,35;7,069872E-06
4,4;7,08889E-06
4,45;7,107671E-06
4,5;7,126696E-06
4,55;7,145184E-06
4,6;7,163926E-06
4,65;7,182254E-06
4,7;7,200139E-06
4,75;7,218849E-06
4,8;7,236307E-06
4,85;7,253795E-06
4,9;7,271477E-06
4,95;7,289179E-06
5;7,306798E-06
