Tensao [V];Corrente [A]
-5;-3,501304E-09
-4,95;-3,450728E-09
-4,9;-3,426371E-09
-4,85;-3,407886E-09
-4,8;-3,39442E-09
-4,75;-3,379706E-09
-4,7;-3,368555E-09
-4,65;-3,358459E-09
-4,6;-3,348428E-09
-4,55;-3,337875E-09
-4,5;-3,327756E-09
-4,45;-3,319198E-09
-4,4;-3,309043E-09
-4,35;-3,297707E-09
-4,3;-3,285845E-09
-4,25;-3,275951E-09
-4,2;-3,266777E-09
-4,15;-3,257447E-09
-4,1;-3,245865E-09
-4,05;-3,236675E-09
-4;-3,227196E-09
-3,95;-3,216826E-09
-3,9;-3,206212E-09
-3,85;-3,195995E-09
-3,8;-3,187465E-09
-3,75;-3,175222E-09
-3,7;-3,163515E-09
-3,65;-3,15176E-09
-3,6;-3,140458E-09
-3,55;-3,130245E-09
-3,5;-3,11861E-09
-3,45;-3,106884E-09
-3,4;-3,094466E-09
-3,35;-3,083578E-09
-3,3;-3,06784E-09
-3,25;-3,056062E-09
-3,2;-3,041297E-09
-3,15;-3,026824E-09
-3,1;-3,009925E-09
-3,05;-2,998616E-09
-3;-2,983969E-09
-2,95;-2,965857E-09
-2,9;-2,948679E-09
-2,85;-2,929115E-09
-2,8;-2,909295E-09
-2,75;-2,891325E-09
-2,7;-2,870236E-09
-2,65;-2,847111E-09
-2,6;-2,823423E-09
-2,55;-2,798981E-09
-2,5;-2,766483E-09
-2,45;-2,736573E-09
-2,4;-2,696895E-09
-2,35;-2,655345E-09
-2,3;-2,601201E-09
-2,25;-2,533884E-09
-2,2;-2,449782E-09
-2,15;-2,342001E-09
-2,1;-2,203661E-09
-2,05;-2,025136E-09
-2;-1,727421E-09
-1,95;-1,526965E-09
-1,9;-1,189857E-09
-1,85;-7,677748E-10
-1,8;-2,606237E-10
-1,75;3,45558E-10
-1,7;1,054277E-09
-1,65;1,883936E-09
-1,6;3,086578E-09
-1,55;4,004362E-09
-1,5;5,340405E-09
-1,45;6,993477E-09
-1,4;9,053274E-09
-1,35;1,167473E-08
-1,3;1,508532E-08
-1,25;2,183839E-08
-1,2;2,827684E-08
-1,15;3,667755E-08
-1,1;4,734889E-08
-1,05;6,084439E-08
-1;7,763735E-08
-0,95;9,845279E-08
-0,9;1,23769E-07
-0,85;1,539082E-07
-0,8;1,895631E-07
-0,75;2,309342E-07
-0,7;2,782238E-07
-0,65;3,316275E-07
-0,6;3,916168E-07
-0,55;4,586846E-07
-0,5;5,323759E-07
-0,45;6,120121E-07
-0,4;6,965345E-07
-0,35;7,851061E-07
-0,3;8,769003E-07
-0,25;9,719292E-07
-0,2;1,06916E-06
-0,15;1,168907E-06
-0,1;1,270877E-06
-0,05;1,375055E-06
0;1,482077E-06
0,05;1,590999E-06
0,1;1,701508E-06
0,15;1,813971E-06
0,2;1,928377E-06
0,25;2,044718E-06
0,3;2,163362E-06
0,35;2,283772E-06
0,4;2,405687E-06
0,45;2,529381E-06
0,5;2,654893E-06
0,55;2,782301E-06
0,6;2,910747E-06
0,65;3,040018E-06
0,7;3,170045E-06
0,75;3,301012E-06
0,8;3,432427E-06
0,85;3,563608E-06
0,9;3,694746E-06
0,95;3,825752E-06
1;3,956584E-06
1,05;4,087235E-06
1,1;4,216822E-06
1,15;4,345732E-06
1,2;4,473638E-06
1,25;4,600793E-06
1,3;4,727747E-06
1,35;4,85297E-06
1,4;4,977548E-06
1,45;5,100848E-06
1,5;5,223163E-06
1,55;5,344338E-06
1,6;5,464852E-06
1,65;5,583818E-06
1,7;5,701532E-06
1,75;5,818481E-06
1,8;5,934165E-06
1,85;6,049057E-06
1,9;6,162361E-06
1,95;6,274191E-06
2;6,384922E-06
2,05;6,494136E-06
2,1;6,601997E-06
2,15;6,70819E-06
2,2;6,812797E-06
2,25;6,916021E-06
2,3;7,017421E-06
2,35;7,117784E-06
2,4;7,215853E-06
2,45;7,312092E-06
2,5;7,407023E-06
2,55;7,499615E-06
2,6;7,591289E-06
2,65;7,680603E-06
2,7;7,767901E-06
2,75;7,852602E-06
2,8;7,936395E-06
2,85;8,017934E-06
2,9;8,097163E-06
2,95;8,174402E-06
3;8,249859E-06
3,05;8,3229E-06
3,1;8,394032E-06
3,15;8,463357E-06
3,2;8,530744E-06
3,25;8,596621E-06
3,3;8,660519E-06
3,35;8,722842E-06
3,4;8,783491E-06
3,45;8,842489E-06
3,5;8,9003E-06
3,55;8,956454E-06
3,6;9,011456E-06
3,65;9,065145E-06
3,7;9,117407E-06
3,75;9,168561E-06
3,8;9,218332E-06
3,85;9,267441E-06
3,9;9,315436E-06
3,95;9,362226E-06
4;9,408152E-06
4,05;9,453371E-06
4,1;9,497495E-06
4,15;9,54086E-06
4,2;9,583135E-06
4,25;9,624884E-06
4,3;9,665685E-06
4,35;9,705611E-06
4,4;9,744596E-06
4,45;9,783301E-06
4,5;9,820787E-06
4,55;9,85739E-06
4,6;9,89354E-06
4,65;9,929138E-06
4,7;9,963395E-06
4,75;9,997089E-06
4,8;1,003061E-05
4,85;1,006303E-05
4,9;1,00954E-05
4,95;1,012679E-05
5;1,015753E-05
