Tensao [V];Corrente [A]
-5;-1,041395E-10
-4,95;-9,869766E-11
-4,9;-9,64573E-11
-4,85;-9,348249E-11
-4,8;-9,135109E-11
-4,75;-8,972993E-11
-4,7;-8,606525E-11
-4,65;-8,543988E-11
-4,6;-8,642193E-11
-4,55;-8,440828E-11
-4,5;-8,455313E-11
-4,45;-8,368615E-11
-4,4;-8,156587E-11
-4,35;-7,930447E-11
-4,3;-7,816754E-11
-4,25;-7,6695E-11
-4,2;-7,560021E-11
-4,15;-7,459335E-11
-4,1;-7,333625E-11
-4,05;-7,226251E-11
-4;-7,070076E-11
-3,95;-6,927407E-11
-3,9;-6,631663E-11
-3,85;-6,896447E-11
-3,8;-6,768387E-11
-3,75;-6,555866E-11
-3,7;-6,411714E-11
-3,65;-6,303961E-11
-3,6;-6,146181E-11
-3,55;-6,080663E-11
-3,5;-5,915578E-11
-3,45;-5,746528E-11
-3,4;-5,677296E-11
-3,35;-5,580821E-11
-3,3;-5,547872E-11
-3,25;-5,456351E-11
-3,2;-5,346007E-11
-3,15;-5,239867E-11
-3,1;-5,013723E-11
-3,05;-5,042085E-11
-3;-4,80083E-11
-2,95;-4,747573E-11
-2,9;-4,558088E-11
-2,85;-4,493565E-11
-2,8;-4,373063E-11
-2,75;-4,240795E-11
-2,7;-4,190511E-11
-2,65;-4,117567E-11
-2,6;-3,992358E-11
-2,55;-3,896003E-11
-2,5;-3,745527E-11
-2,45;-3,659578E-11
-2,4;-3,576231E-11
-2,35;-3,454365E-11
-2,3;-3,3808E-11
-2,25;-3,217694E-11
-2,2;-3,114281E-11
-2,15;-3,062017E-11
-2,1;-2,902995E-11
-2,05;-2,805159E-11
-2;-2,682425E-11
-1,95;-2,577529E-11
-1,9;-2,460864E-11
-1,85;-1,878038E-11
-1,8;-2,446001E-11
-1,75;-2,355593E-11
-1,7;-2,167221E-11
-1,65;-2,012784E-11
-1,6;-1,880516E-11
-1,55;-1,782553E-11
-1,5;-1,65982E-11
-1,45;-1,492006E-11
-1,4;-1,279238E-11
-1,35;-1,324689E-11
-1,3;-1,359615E-11
-1,25;-1,255212E-11
-1,2;-1,004792E-11
-1,15;-9,862152E-12
-1,1;-9,969901E-12
-1,05;-7,932613E-12
-1;-6,965372E-12
-0,95;-6,385762E-12
-0,9;-4,986293E-12
-0,85;-3,480314E-12
-0,8;-1,498759E-12
-0,75;-1,347666E-12
-0,7;-8,566388E-14
-0,65;2,347954E-12
-0,6;2,765324E-12
-0,55;3,290442E-12
-0,5;3,670654E-12
-0,45;5,361185E-12
-0,4;6,047301E-12
-0,35;5,902402E-12
-0,3;6,401508E-12
-0,25;6,475816E-12
-0,2;8,458631E-12
-0,15;9,645096E-12
-0,1;1,069533E-11
-0,05;1,239576E-11
0;1,129475E-11
0,05;1,18496E-11
0,1;1,266823E-11
0,15;1,285276E-11
0,2;1,391291E-11
0,25;1,391167E-11
0,3;1,518731E-11
0,35;1,556133E-11
0,4;1,72407E-11
0,45;1,783147E-11
0,5;1,866497E-11
0,55;1,958021E-11
0,6;2,050412E-11
0,65;2,152957E-11
0,7;2,197295E-11
0,75;2,268879E-11
0,8;2,398053E-11
0,85;2,504069E-11
0,9;2,601043E-11
0,95;2,719688E-11
1;2,763159E-11
1,05;2,887131E-11
1,1;2,951285E-11
1,15;2,946328E-11
1,2;3,017792E-11
1,25;3,207652E-11
1,3;3,237871E-11
1,35;3,405932E-11
1,4;3,478133E-11
1,45;3,594674E-11
1,5;3,66304E-11
1,55;3,750477E-11
1,6;3,846956E-11
1,65;3,903179E-11
1,7;4,054896E-11
1,75;4,296773E-11
1,8;4,052546E-11
1,85;4,17156E-11
1,9;4,326123E-11
1,95;4,594256E-11
2;4,366744E-11
2,05;4,605526E-11
2,1;4,69606E-11
2,15;4,887527E-11
2,2;5,023143E-11
2,25;4,893721E-11
2,3;5,121231E-11
2,35;5,069461E-11
2,4;5,223528E-11
2,45;5,322232E-11
2,5;5,384285E-11
2,55;5,527205E-11
2,6;5,879799E-11
2,65;5,595321E-11
2,7;5,743074E-11
2,75;6,02755E-11
2,8;5,854162E-11
2,85;6,032756E-11
2,9;6,160444E-11
2,95;6,221867E-11
3;6,373464E-11
3,05;6,453593E-11
3,1;6,610877E-11
3,15;6,57793E-11
3,2;6,640605E-11
3,25;6,794172E-11
3,3;6,855724E-11
3,35;6,996412E-11
3,4;6,995679E-11
3,45;7,05636E-11
3,5;7,133268E-11
3,55;7,227022E-11
3,6;7,356567E-11
3,65;7,462456E-11
3,7;7,624205E-11
3,75;7,694675E-11
3,8;7,731205E-11
3,85;7,832141E-11
3,9;7,888001E-11
3,95;8,007513E-11
4;8,065101E-11
4,05;8,086528E-11
4,1;8,244928E-11
4,15;8,326671E-11
4,2;8,420423E-11
4,25;8,457825E-11
4,3;8,591956E-11
4,35;8,643719E-11
4,4;8,748123E-11
4,45;8,84646E-11
4,5;8,925971E-11
4,55;9,062082E-11
4,6;9,083138E-11
4,65;9,16574E-11
4,7;9,260486E-11
4,75;9,328111E-11
4,8;9,481187E-11
4,85;9,593148E-11
4,9;9,72678E-11
4,95;9,753276E-11
5;9,839229E-11
