Tensao [V];Corrente [A]
-5;-2,188005E-09
-4,95;-2,245806E-09
-4,9;-2,235101E-09
-4,85;-2,217003E-09
-4,8;-2,20247E-09
-4,75;-2,187998E-09
-4,7;-2,174138E-09
-4,65;-2,162089E-09
-4,6;-2,148197E-09
-4,55;-2,133848E-09
-4,5;-2,120295E-09
-4,45;-2,107595E-09
-4,4;-2,096113E-09
-4,35;-2,088618E-09
-4,3;-2,074476E-09
-4,25;-2,061642E-09
-4,2;-2,04744E-09
-4,15;-2,038403E-09
-4,1;-2,029913E-09
-4,05;-2,017483E-09
-4;-2,040963E-09
-3,95;-2,009492E-09
-3,9;-1,985632E-09
-3,85;-1,976122E-09
-3,8;-1,966274E-09
-3,75;-1,955606E-09
-3,7;-1,938969E-09
-3,65;-1,925354E-09
-3,6;-1,916629E-09
-3,55;-1,908993E-09
-3,5;-1,893983E-09
-3,45;-1,876796E-09
-3,4;-1,868297E-09
-3,35;-1,856698E-09
-3,3;-1,843994E-09
-3,25;-1,828826E-09
-3,2;-1,815354E-09
-3,15;-1,808276E-09
-3,1;-1,791643E-09
-3,05;-1,775845E-09
-3;-1,761272E-09
-2,95;-1,74887E-09
-2,9;-1,73258E-09
-2,85;-1,716554E-09
-2,8;-1,701786E-09
-2,75;-1,685366E-09
-2,7;-1,669493E-09
-2,65;-1,650913E-09
-2,6;-1,631818E-09
-2,55;-1,615952E-09
-2,5;-1,593963E-09
-2,45;-1,57559E-09
-2,4;-1,561422E-09
-2,35;-1,545412E-09
-2,3;-1,521647E-09
-2,25;-1,505232E-09
-2,2;-1,484072E-09
-2,15;-1,45368E-09
-2,1;-1,422267E-09
-2,05;-1,398724E-09
-2;-1,375412E-09
-1,95;-1,351698E-09
-1,9;-1,325208E-09
-1,85;-1,294755E-09
-1,8;-1,265837E-09
-1,75;-1,228476E-09
-1,7;-1,182774E-09
-1,65;-1,133522E-09
-1,6;-1,076045E-09
-1,55;-9,967871E-10
-1,5;-8,876664E-10
-1,45;-7,406855E-10
-1,4;-5,439679E-10
-1,35;-2,908568E-10
-1,3;4,355422E-11
-1,25;4,867742E-10
-1,2;1,058374E-09
-1,15;1,796234E-09
-1,1;3,069808E-09
-1,05;4,068411E-09
-1;5,8029E-09
-0,95;8,239671E-09
-0,9;1,164414E-08
-0,85;1,641602E-08
-0,8;2,6586E-08
-0,75;3,71469E-08
-0,7;5,159829E-08
-0,65;7,121326E-08
-0,6;9,762609E-08
-0,55;1,330173E-07
-0,5;1,791651E-07
-0,45;2,375174E-07
-0,4;3,065101E-07
-0,35;3,809686E-07
-0,3;4,569528E-07
-0,25;5,34208E-07
-0,2;6,120146E-07
-0,15;6,907429E-07
-0,1;7,704522E-07
-0,05;8,512084E-07
0;9,336145E-07
0,05;1,017198E-06
0,1;1,101718E-06
0,15;1,187603E-06
0,2;1,274939E-06
0,25;1,36351E-06
0,3;1,453611E-06
0,35;1,544721E-06
0,4;1,637402E-06
0,45;1,731461E-06
0,5;1,827036E-06
0,55;1,924394E-06
0,6;2,022652E-06
0,65;2,121835E-06
0,7;2,222861E-06
0,75;2,324124E-06
0,8;2,42625E-06
0,85;2,528266E-06
0,9;2,630441E-06
0,95;2,732093E-06
1;2,833408E-06
1,05;2,934344E-06
1,1;3,033749E-06
1,15;3,131753E-06
1,2;3,22854E-06
1,25;3,32332E-06
1,3;3,41725E-06
1,35;3,50912E-06
1,4;3,599423E-06
1,45;3,687824E-06
1,5;3,774871E-06
1,55;3,860186E-06
1,6;3,944173E-06
1,65;4,025951E-06
1,7;4,106366E-06
1,75;4,184573E-06
1,8;4,261085E-06
1,85;4,335909E-06
1,9;4,408683E-06
1,95;4,480046E-06
2;4,549103E-06
2,05;4,616503E-06
2,1;4,682095E-06
2,15;4,745657E-06
2,2;4,807291E-06
2,25;4,867182E-06
2,3;4,925117E-06
2,35;4,98148E-06
2,4;5,03597E-06
2,45;5,088609E-06
2,5;5,140106E-06
2,55;5,189638E-06
2,6;5,237794E-06
2,65;5,28394E-06
2,7;5,328886E-06
2,75;5,372126E-06
2,8;5,414215E-06
2,85;5,455061E-06
2,9;5,494677E-06
2,95;5,533065E-06
3;5,570199E-06
3,05;5,60617E-06
3,1;5,641401E-06
3,15;5,674684E-06
3,2;5,707605E-06
3,25;5,7394E-06
3,3;5,769853E-06
3,35;5,800108E-06
3,4;5,828906E-06
3,45;5,856902E-06
3,5;5,884548E-06
3,55;5,911364E-06
3,6;5,937227E-06
3,65;5,962665E-06
3,7;5,987518E-06
3,75;6,011646E-06
3,8;6,035258E-06
3,85;6,058394E-06
3,9;6,081193E-06
3,95;6,103322E-06
4;6,125098E-06
4,05;6,146611E-06
4,1;6,167658E-06
4,15;6,188446E-06
4,2;6,20863E-06
4,25;6,228627E-06
4,3;6,248058E-06
4,35;6,267212E-06
4,4;6,285719E-06
4,45;6,303974E-06
4,5;6,321837E-06
4,55;6,339168E-06
4,6;6,35672E-06
4,65;6,373215E-06
4,7;6,389993E-06
4,75;6,405674E-06
4,8;6,421785E-06
4,85;6,43688E-06
4,9;6,452527E-06
4,95;6,467395E-06
5;6,481838E-06
