Tensao [V];Corrente [A]
-5;-8,953641E-10
-4,95;-8,702792E-10
-4,9;-8,518853E-10
-4,85;-8,405166E-10
-4,8;-8,279526E-10
-4,75;-8,148656E-10
-4,7;-8,034993E-10
-4,65;-7,937582E-10
-4,6;-7,836113E-10
-4,55;-7,742762E-10
-4,5;-7,646019E-10
-4,45;-7,54162E-10
-4,4;-7,463862E-10
-4,35;-7,370979E-10
-4,3;-7,282195E-10
-4,25;-7,196649E-10
-4,2;-7,115196E-10
-4,15;-7,038202E-10
-4,1;-6,947803E-10
-4,05;-6,829323E-10
-4;-6,744158E-10
-3,95;-6,676527E-10
-3,9;-6,57889E-10
-3,85;-6,495459E-10
-3,8;-6,411213E-10
-3,75;-6,354637E-10
-3,7;-6,272903E-10
-3,65;-6,181161E-10
-3,6;-6,09238E-10
-3,55;-6,017071E-10
-3,5;-5,933093E-10
-3,45;-5,859188E-10
-3,4;-5,751838E-10
-3,35;-5,685498E-10
-3,3;-5,583735E-10
-3,25;-5,492407E-10
-3,2;-5,414991E-10
-3,15;-5,319289E-10
-3,1;-5,266232E-10
-3,05;-5,157958E-10
-3;-5,073525E-10
-2,95;-4,999459E-10
-2,9;-4,923651E-10
-2,85;-4,808702E-10
-2,8;-4,705231E-10
-2,75;-4,61784E-10
-2,7;-4,552141E-10
-2,65;-4,444783E-10
-2,6;-4,349532E-10
-2,55;-4,26711E-10
-2,5;-4,193816E-10
-2,45;-4,106371E-10
-2,4;-3,992056E-10
-2,35;-3,910839E-10
-2,3;-3,80721E-10
-2,25;-3,708248E-10
-2,2;-3,583338E-10
-2,15;-3,505902E-10
-2,1;-3,391931E-10
-2,05;-3,27422E-10
-2;-3,145275E-10
-1,95;-3,044791E-10
-1,9;-2,943475E-10
-1,85;-2,813233E-10
-1,8;-2,689689E-10
-1,75;-2,55303E-10
-1,7;-2,438947E-10
-1,65;-2,324417E-10
-1,6;-2,161717E-10
-1,55;-2,033689E-10
-1,5;-1,900708E-10
-1,45;-1,768681E-10
-1,4;-1,60687E-10
-1,35;-1,462952E-10
-1,3;-1,30061E-10
-1,25;-1,158835E-10
-1,2;-9,900895E-11
-1,15;-8,111509E-11
-1,1;-6,584299E-11
-1,05;-4,783025E-11
-1;-2,903608E-11
-0,95;-8,982433E-12
-0,9;1,019576E-11
-0,85;3,326145E-11
-0,8;5,939098E-11
-0,75;8,589584E-11
-0,7;1,177643E-10
-0,65;1,585109E-10
-0,6;2,190686E-10
-0,55;3,158887E-10
-0,5;4,91822E-10
-0,45;8,243572E-10
-0,4;1,416714E-09
-0,35;2,872722E-09
-0,3;3,90389E-09
-0,25;6,031618E-09
-0,2;8,900483E-09
-0,15;1,253074E-08
-0,1;1,695795E-08
-0,05;2,427239E-08
0;2,955506E-08
0,05;3,475711E-08
0,1;3,981699E-08
0,15;4,472928E-08
0,2;4,948985E-08
0,25;5,405219E-08
0,3;5,845812E-08
0,35;6,268437E-08
0,4;6,675766E-08
0,45;7,067361E-08
0,5;7,446798E-08
0,55;7,815452E-08
0,6;8,172428E-08
0,65;8,51804E-08
0,7;8,854016E-08
0,75;9,180221E-08
0,8;9,49953E-08
0,85;9,811979E-08
0,9;1,010775E-07
0,95;1,040341E-07
1;1,068601E-07
1,05;1,096019E-07
1,1;1,122557E-07
1,15;1,147735E-07
1,2;1,172281E-07
1,25;1,195844E-07
1,3;1,218578E-07
1,35;1,240621E-07
1,4;1,261094E-07
1,45;1,281637E-07
1,5;1,301033E-07
1,55;1,319814E-07
1,6;1,338399E-07
1,65;1,35599E-07
1,7;1,373246E-07
1,75;1,390246E-07
1,8;1,406451E-07
1,85;1,422352E-07
1,9;1,437862E-07
1,95;1,453216E-07
2;1,467876E-07
2,05;1,482558E-07
2,1;1,496887E-07
2,15;1,510566E-07
2,2;1,524024E-07
2,25;1,537145E-07
2,3;1,550216E-07
2,35;1,563092E-07
2,4;1,575313E-07
2,45;1,587499E-07
2,5;1,599324E-07
2,55;1,611133E-07
2,6;1,622488E-07
2,65;1,633635E-07
2,7;1,644473E-07
2,75;1,654962E-07
2,8;1,665269E-07
2,85;1,675222E-07
2,9;1,685017E-07
2,95;1,694318E-07
3;1,703728E-07
3,05;1,712637E-07
3,1;1,721138E-07
3,15;1,729622E-07
3,2;1,7376E-07
3,25;1,745627E-07
3,3;1,753321E-07
3,35;1,761043E-07
3,4;1,768101E-07
3,45;1,775277E-07
3,5;1,782312E-07
3,55;1,789283E-07
3,6;1,795951E-07
3,65;1,802478E-07
3,7;1,808975E-07
3,75;1,815251E-07
3,8;1,821504E-07
3,85;1,827724E-07
3,9;1,833917E-07
3,95;1,840238E-07
4;1,846163E-07
4,05;1,852147E-07
4,1;1,858195E-07
4,15;1,864416E-07
4,2;1,870561E-07
4,25;1,876215E-07
4,3;1,882196E-07
4,35;1,888373E-07
4,4;1,894216E-07
4,45;1,900174E-07
4,5;1,90592E-07
4,55;1,91178E-07
4,6;1,917564E-07
4,65;1,923177E-07
4,7;1,928983E-07
4,75;1,934445E-07
4,8;1,939956E-07
4,85;1,945537E-07
4,9;1,951039E-07
4,95;1,956614E-07
5;1,961857E-07
