Tensao [V];Corrente [A]
-5;-1,101028E-09
-4,95;-1,060065E-09
-4,9;-1,02993E-09
-4,85;-1,00692E-09
-4,8;-9,868982E-10
-4,75;-9,629137E-10
-4,7;-9,451228E-10
-4,65;-9,285329E-10
-4,6;-9,156484E-10
-4,55;-8,984453E-10
-4,5;-8,88255E-10
-4,45;-8,689413E-10
-4,4;-8,582404E-10
-4,35;-8,454967E-10
-4,3;-8,328361E-10
-4,25;-8,18066E-10
-4,2;-8,05345E-10
-4,15;-7,945493E-10
-4,1;-7,791722E-10
-4,05;-7,658829E-10
-4;-7,577423E-10
-3,95;-7,433371E-10
-3,9;-7,3129E-10
-3,85;-7,154109E-10
-3,8;-7,101763E-10
-3,75;-6,988992E-10
-3,7;-6,830372E-10
-3,65;-6,741893E-10
-3,6;-6,661831E-10
-3,55;-6,504917E-10
-3,5;-6,384311E-10
-3,45;-6,278835E-10
-3,4;-6,170549E-10
-3,35;-6,085241E-10
-3,3;-5,958547E-10
-3,25;-5,870926E-10
-3,2;-5,746807E-10
-3,15;-5,62503E-10
-3,1;-5,482231E-10
-3,05;-5,324729E-10
-3;-5,21595E-10
-2,95;-5,129965E-10
-2,9;-4,992515E-10
-2,85;-4,859246E-10
-2,8;-4,687161E-10
-2,75;-4,573396E-10
-2,7;-4,357591E-10
-2,65;-4,20628E-10
-2,6;-4,003458E-10
-2,55;-3,812457E-10
-2,5;-3,592505E-10
-2,45;-3,359572E-10
-2,4;-3,093464E-10
-2,35;-2,835274E-10
-2,3;-2,530327E-10
-2,25;-2,222078E-10
-2,2;-1,8446E-10
-2,15;-1,533433E-10
-2,1;-1,111602E-10
-2,05;-6,622829E-11
-2;-2,212812E-11
-1,95;2,701077E-11
-1,9;7,943503E-11
-1,85;1,382724E-10
-1,8;1,939188E-10
-1,75;2,485545E-10
-1,7;3,070309E-10
-1,65;3,663538E-10
-1,6;4,206189E-10
-1,55;4,761045E-10
-1,5;5,448679E-10
-1,45;6,114936E-10
-1,4;6,821685E-10
-1,35;7,47949E-10
-1,3;8,236314E-10
-1,25;8,995504E-10
-1,2;9,82013E-10
-1,15;1,070072E-09
-1,1;1,163983E-09
-1,05;1,264259E-09
-1;1,385785E-09
-0,95;1,515951E-09
-0,9;1,670856E-09
-0,85;1,862262E-09
-0,8;2,136383E-09
-0,75;2,44224E-09
-0,7;2,949761E-09
-0,65;3,696563E-09
-0,6;4,795612E-09
-0,55;6,427444E-09
-0,5;8,804817E-09
-0,45;1,211924E-08
-0,4;1,650726E-08
-0,35;2,474785E-08
-0,3;3,161223E-08
-0,25;3,933077E-08
-0,2;4,790182E-08
-0,15;5,729333E-08
-0,1;6,74286E-08
-0,05;7,802996E-08
0;8,913369E-08
0,05;1,003948E-07
0,1;1,119964E-07
0,15;1,237877E-07
0,2;1,35704E-07
0,25;1,478164E-07
0,3;1,600767E-07
0,35;1,724936E-07
0,4;1,850373E-07
0,45;1,977418E-07
0,5;2,105862E-07
0,55;2,237191E-07
0,6;2,370626E-07
0,65;2,508017E-07
0,7;2,649051E-07
0,75;2,793187E-07
0,8;2,940982E-07
0,85;3,090024E-07
0,9;3,242281E-07
0,95;3,394769E-07
1;3,546417E-07
1,05;3,698252E-07
1,1;3,848774E-07
1,15;3,996885E-07
1,2;4,142731E-07
1,25;4,286206E-07
1,3;4,426819E-07
1,35;4,564405E-07
1,4;4,699198E-07
1,45;4,830414E-07
1,5;4,957438E-07
1,55;5,081633E-07
1,6;5,201983E-07
1,65;5,31961E-07
1,7;5,433891E-07
1,75;5,544763E-07
1,8;5,652366E-07
1,85;5,756816E-07
1,9;5,859424E-07
1,95;5,95907E-07
2;6,055901E-07
2,05;6,149968E-07
2,1;6,242426E-07
2,15;6,332307E-07
2,2;6,419513E-07
2,25;6,504636E-07
2,3;6,588846E-07
2,35;6,670716E-07
2,4;6,750055E-07
2,45;6,827855E-07
2,5;6,903583E-07
2,55;6,978749E-07
2,6;7,052015E-07
2,65;7,122848E-07
2,7;7,191587E-07
2,75;7,259368E-07
2,8;7,324773E-07
2,85;7,388765E-07
2,9;7,450651E-07
2,95;7,5111E-07
3;7,569368E-07
3,05;7,626355E-07
3,1;7,682291E-07
3,15;7,735869E-07
3,2;7,788283E-07
3,25;7,839251E-07
3,3;7,889179E-07
3,35;7,938307E-07
3,4;7,987058E-07
3,45;8,03434E-07
3,5;8,081954E-07
3,55;8,127843E-07
3,6;8,173228E-07
3,65;8,219308E-07
3,7;8,264462E-07
3,75;8,309217E-07
3,8;8,354228E-07
3,85;8,39821E-07
3,9;8,44288E-07
3,95;8,486542E-07
4;8,529803E-07
4,05;8,572596E-07
4,1;8,616008E-07
4,15;8,658885E-07
4,2;8,700979E-07
4,25;8,742184E-07
4,3;8,784041E-07
4,35;8,824811E-07
4,4;8,865625E-07
4,45;8,905495E-07
4,5;8,944727E-07
4,55;8,983781E-07
4,6;9,022623E-07
4,65;9,060453E-07
4,7;9,097369E-07
4,75;9,133798E-07
4,8;9,169639E-07
4,85;9,205271E-07
4,9;9,240382E-07
4,95;9,273988E-07
5;9,30683E-07
