Tensao [V];Corrente [A]
-5;-1,461975E-10
-4,95;-1,183609E-10
-4,9;-9,412549E-11
-4,85;-7,539858E-11
-4,8;-5,499234E-11
-4,75;-4,196846E-11
-4,7;-2,55676E-11
-4,65;-1,104928E-11
-4,6;3,98168E-12
-4,55;1,462433E-11
-4,5;2,53532E-11
-4,45;4,013318E-11
-4,4;5,305021E-11
-4,35;6,030097E-11
-4,3;7,464596E-11
-4,25;8,258544E-11
-4,2;9,758597E-11
-4,15;1,07493E-10
-4,1;1,170477E-10
-4,05;1,302975E-10
-4;1,405065E-10
-3,95;1,520767E-10
-3,9;1,614345E-10
-3,85;1,733508E-10
-3,8;1,856557E-10
-3,75;1,947336E-10
-3,7;2,045925E-10
-3,65;2,137791E-10
-3,6;2,27301E-10
-3,55;2,398386E-10
-3,5;2,500389E-10
-3,45;2,612138E-10
-3,4;2,734877E-10
-3,35;2,831644E-10
-3,3;2,950035E-10
-3,25;3,040135E-10
-3,2;3,151944E-10
-3,15;3,255096E-10
-3,1;3,361757E-10
-3,05;3,492319E-10
-3;3,597329E-10
-2,95;3,708868E-10
-2,9;3,813707E-10
-2,85;3,911667E-10
-2,8;4,044978E-10
-2,75;4,175172E-10
-2,7;4,284397E-10
-2,65;4,409487E-10
-2,6;4,520485E-10
-2,55;4,638712E-10
-2,5;4,747552E-10
-2,45;4,852255E-10
-2,4;5,000784E-10
-2,35;5,08343E-10
-2,3;5,167754E-10
-2,25;5,31278E-10
-2,2;5,440508E-10
-2,15;5,582456E-10
-2,1;5,68531E-10
-2,05;5,812592E-10
-2;5,970979E-10
-1,95;6,074831E-10
-1,9;6,219644E-10
-1,85;6,341599E-10
-1,8;6,459815E-10
-1,75;6,611274E-10
-1,7;6,740937E-10
-1,65;6,89504E-10
-1,6;7,021877E-10
-1,55;7,164079E-10
-1,5;7,286676E-10
-1,45;7,406196E-10
-1,4;7,52148E-10
-1,35;7,693899E-10
-1,3;7,832407E-10
-1,25;7,972192E-10
-1,2;8,113098E-10
-1,15;8,289187E-10
-1,1;8,416159E-10
-1,05;8,565643E-10
-1;8,734075E-10
-0,95;8,887834E-10
-0,9;9,009686E-10
-0,85;9,210468E-10
-0,8;9,351308E-10
-0,75;9,562893E-10
-0,7;9,723827E-10
-0,65;9,908133E-10
-0,6;1,013816E-09
-0,55;1,03545E-09
-0,5;1,055796E-09
-0,45;1,077245E-09
-0,4;1,105785E-09
-0,35;1,151373E-09
-0,3;1,205666E-09
-0,25;1,287328E-09
-0,2;1,423052E-09
-0,15;1,670454E-09
-0,1;2,011019E-09
-0,05;2,504062E-09
0;3,131504E-09
0,05;3,641834E-09
0,1;4,243545E-09
0,15;4,887813E-09
0,2;5,597011E-09
0,25;6,21448E-09
0,3;6,817023E-09
0,35;7,442241E-09
0,4;8,130501E-09
0,45;8,766671E-09
0,5;9,379888E-09
0,55;1,001655E-08
0,6;1,070209E-08
0,65;1,134601E-08
0,7;1,196968E-08
0,75;1,261529E-08
0,8;1,330795E-08
0,85;1,398795E-08
0,9;1,462707E-08
0,95;1,528907E-08
1;1,598243E-08
1,05;1,66692E-08
1,1;1,730037E-08
1,15;1,794319E-08
1,2;1,861107E-08
1,25;1,924783E-08
1,3;1,984167E-08
1,35;2,071576E-08
1,4;2,130332E-08
1,45;2,186409E-08
1,5;2,247414E-08
1,55;2,299483E-08
1,6;2,353994E-08
1,65;2,409104E-08
1,7;2,463045E-08
1,75;2,511045E-08
1,8;2,559912E-08
1,85;2,60791E-08
1,9;2,657731E-08
1,95;2,701272E-08
2;2,748488E-08
2,05;2,791527E-08
2,1;2,836811E-08
2,15;2,881181E-08
2,2;2,921249E-08
2,25;2,962941E-08
2,3;3,00231E-08
2,35;3,047906E-08
2,4;3,083882E-08
2,45;3,122661E-08
2,5;3,163319E-08
2,55;3,20129E-08
2,6;3,239241E-08
2,65;3,275312E-08
2,7;3,31282E-08
2,75;3,349122E-08
2,8;3,385698E-08
2,85;3,41935E-08
2,9;3,458099E-08
2,95;3,494689E-08
3;3,523614E-08
3,05;3,556711E-08
3,1;3,59055E-08
3,15;3,62357E-08
3,2;3,655387E-08
3,25;3,685252E-08
3,3;3,71359E-08
3,35;3,745593E-08
3,4;3,775786E-08
3,45;3,801807E-08
3,5;3,830598E-08
3,55;3,862046E-08
3,6;3,890319E-08
3,65;3,91467E-08
3,7;3,942831E-08
3,75;3,975259E-08
3,8;3,999923E-08
3,85;4,02543E-08
3,9;4,051756E-08
3,95;4,081974E-08
4;4,107773E-08
4,05;4,137854E-08
4,1;4,162038E-08
4,15;4,188138E-08
4,2;4,218007E-08
4,25;4,242659E-08
4,3;4,268834E-08
4,35;4,29709E-08
4,4;4,322222E-08
4,45;4,349189E-08
4,5;4,373881E-08
4,55;4,402679E-08
4,6;4,430069E-08
4,65;4,454747E-08
4,7;4,480985E-08
4,75;4,506859E-08
4,8;4,531575E-08
4,85;4,558977E-08
4,9;4,581644E-08
4,95;4,607328E-08
5;4,634519E-08
