Tensao [V];Corrente [A]
-5;-9,369057E-10
-4,95;-9,157805E-10
-4,9;-8,938956E-10
-4,85;-8,784684E-10
-4,8;-8,653335E-10
-4,75;-8,568345E-10
-4,7;-8,44014E-10
-4,65;-8,296764E-10
-4,6;-8,279278E-10
-4,55;-8,217805E-10
-4,5;-8,118137E-10
-4,45;-7,957108E-10
-4,4;-7,849538E-10
-4,35;-7,781502E-10
-4,3;-7,678161E-10
-4,25;-7,559288E-10
-4,2;-7,454791E-10
-4,15;-7,409315E-10
-4,1;-7,322287E-10
-4,05;-7,206554E-10
-4;-7,119637E-10
-3,95;-7,05978E-10
-3,9;-6,969272E-10
-3,85;-6,853852E-10
-3,8;-6,757843E-10
-3,75;-6,682143E-10
-3,7;-6,622703E-10
-3,65;-6,496631E-10
-3,6;-6,401557E-10
-3,55;-6,346734E-10
-3,5;-6,271969E-10
-3,45;-6,156585E-10
-3,4;-6,056933E-10
-3,35;-6,01568E-10
-3,3;-5,954365E-10
-3,25;-5,845138E-10
-3,2;-5,751652E-10
-3,15;-5,677962E-10
-3,1;-5,598633E-10
-3,05;-5,506741E-10
-3;-5,393465E-10
-2,95;-5,32052E-10
-2,9;-5,253621E-10
-2,85;-5,131142E-10
-2,8;-5,04967E-10
-2,75;-4,967958E-10
-2,7;-4,932924E-10
-2,65;-4,821813E-10
-2,6;-4,69541E-10
-2,55;-4,605486E-10
-2,5;-4,538562E-10
-2,45;-4,433978E-10
-2,4;-4,321755E-10
-2,35;-4,223635E-10
-2,3;-4,150508E-10
-2,25;-4,052818E-10
-2,2;-3,926366E-10
-2,15;-3,826129E-10
-2,1;-3,760433E-10
-2,05;-3,660627E-10
-2;-3,51567E-10
-1,95;-3,409666E-10
-1,9;-3,31199E-10
-1,85;-3,212806E-10
-1,8;-3,068381E-10
-1,75;-2,926682E-10
-1,7;-2,829638E-10
-1,65;-2,697636E-10
-1,6;-2,532285E-10
-1,55;-2,398635E-10
-1,5;-2,291176E-10
-1,45;-2,151287E-10
-1,4;-1,977748E-10
-1,35;-1,819862E-10
-1,3;-1,681928E-10
-1,25;-1,513021E-10
-1,2;-1,35173E-10
-1,15;-1,179937E-10
-1,1;-1,008615E-10
-1,05;-8,382961E-11
-1;-6,349117E-11
-0,95;-4,115143E-11
-0,9;-2,070029E-11
-0,85;1,068551E-12
-0,8;2,983344E-11
-0,75;5,984917E-11
-0,7;9,277765E-11
-0,65;1,351083E-10
-0,6;2,01915E-10
-0,55;3,127826E-10
-0,5;5,128848E-10
-0,45;8,930338E-10
-0,4;1,577373E-09
-0,35;3,273066E-09
-0,3;4,477789E-09
-0,25;6,968754E-09
-0,2;1,038185E-08
-0,15;1,466546E-08
-0,1;2,25259E-08
-0,05;2,862998E-08
0;3,489284E-08
0,05;4,103378E-08
0,1;4,700384E-08
0,15;5,273582E-08
0,2;5,820746E-08
0,25;6,34447E-08
0,3;6,854071E-08
0,35;7,338734E-08
0,4;7,802939E-08
0,45;8,250379E-08
0,5;8,68731E-08
0,55;9,10995E-08
0,6;9,515605E-08
0,65;9,909233E-08
0,7;1,029604E-07
0,75;1,068105E-07
0,8;1,104763E-07
0,85;1,140167E-07
0,9;1,174768E-07
0,95;1,208362E-07
1;1,241145E-07
1,05;1,272624E-07
1,1;1,303105E-07
1,15;1,333023E-07
1,2;1,361397E-07
1,25;1,388693E-07
1,3;1,413959E-07
1,35;1,439266E-07
1,4;1,463586E-07
1,45;1,487073E-07
1,5;1,509578E-07
1,55;1,533015E-07
1,6;1,554906E-07
1,65;1,575674E-07
1,7;1,595643E-07
1,75;1,615123E-07
1,8;1,633762E-07
1,85;1,652194E-07
1,9;1,669899E-07
1,95;1,687239E-07
2;1,703989E-07
2,05;1,720341E-07
2,1;1,736379E-07
2,15;1,751899E-07
2,2;1,767341E-07
2,25;1,782093E-07
2,3;1,796482E-07
2,35;1,810539E-07
2,4;1,82491E-07
2,45;1,837911E-07
2,5;1,850958E-07
2,55;1,863865E-07
2,6;1,876531E-07
2,65;1,888717E-07
2,7;1,900444E-07
2,75;1,912054E-07
2,8;1,923472E-07
2,85;1,934138E-07
2,9;1,944804E-07
2,95;1,955151E-07
3;1,965422E-07
3,05;1,974986E-07
3,1;1,984389E-07
3,15;1,993591E-07
3,2;2,002466E-07
3,25;2,011383E-07
3,3;2,019972E-07
3,35;2,028057E-07
3,4;2,036524E-07
3,45;2,044546E-07
3,5;2,052428E-07
3,55;2,060087E-07
3,6;2,067926E-07
3,65;2,075864E-07
3,7;2,083523E-07
3,75;2,090941E-07
3,8;2,098452E-07
3,85;2,104969E-07
3,9;2,112935E-07
3,95;2,120419E-07
4;2,127756E-07
4,05;2,135333E-07
4,1;2,14229E-07
4,15;2,149777E-07
4,2;2,157093E-07
4,25;2,16409E-07
4,3;2,171036E-07
4,35;2,178206E-07
4,4;2,185086E-07
4,45;2,191874E-07
4,5;2,198607E-07
4,55;2,205388E-07
4,6;2,212179E-07
4,65;2,218741E-07
4,7;2,224912E-07
4,75;2,231686E-07
4,8;2,238119E-07
4,85;2,24416E-07
4,9;2,250126E-07
4,95;2,256191E-07
5;2,26208E-07
