Tensao [V];Corrente [A]
-5;-2,410275E-09
-4,95;-2,409533E-09
-4,9;-2,387047E-09
-4,85;-2,363257E-09
-4,8;-2,347752E-09
-4,75;-2,328231E-09
-4,7;-2,312577E-09
-4,65;-2,297224E-09
-4,6;-2,284647E-09
-4,55;-2,274003E-09
-4,5;-2,25994E-09
-4,45;-2,245928E-09
-4,4;-2,237889E-09
-4,35;-2,225359E-09
-4,3;-2,209292E-09
-4,25;-2,194511E-09
-4,2;-2,185981E-09
-4,15;-2,175982E-09
-4,1;-2,164477E-09
-4,05;-2,164018E-09
-4;-2,156215E-09
-3,95;-2,151206E-09
-3,9;-2,134597E-09
-3,85;-2,122138E-09
-3,8;-2,114234E-09
-3,75;-2,102721E-09
-3,7;-2,081861E-09
-3,65;-2,070664E-09
-3,6;-2,053246E-09
-3,55;-2,03908E-09
-3,5;-2,021866E-09
-3,45;-2,009033E-09
-3,4;-2,033093E-09
-3,35;-2,002407E-09
-3,3;-1,988695E-09
-3,25;-1,975878E-09
-3,2;-1,960934E-09
-3,15;-1,947701E-09
-3,1;-1,935779E-09
-3,05;-1,920651E-09
-3;-1,903695E-09
-2,95;-1,886752E-09
-2,9;-1,873691E-09
-2,85;-1,859215E-09
-2,8;-1,840242E-09
-2,75;-1,825976E-09
-2,7;-1,809641E-09
-2,65;-1,789994E-09
-2,6;-1,769968E-09
-2,55;-1,747908E-09
-2,5;-1,732128E-09
-2,45;-1,71069E-09
-2,4;-1,68794E-09
-2,35;-1,665622E-09
-2,3;-1,645524E-09
-2,25;-1,627299E-09
-2,2;-1,601601E-09
-2,15;-1,573038E-09
-2,1;-1,550331E-09
-2,05;-1,528296E-09
-2;-1,488949E-09
-1,95;-1,454123E-09
-1,9;-1,449993E-09
-1,85;-1,42563E-09
-1,8;-1,382115E-09
-1,75;-1,324775E-09
-1,7;-1,285915E-09
-1,65;-1,253238E-09
-1,6;-1,174746E-09
-1,55;-1,081868E-09
-1,5;-9,586696E-10
-1,45;-7,935568E-10
-1,4;-5,716789E-10
-1,35;-2,781024E-10
-1,3;9,312828E-11
-1,25;5,767487E-10
-1,2;1,221264E-09
-1,15;2,060626E-09
-1,1;3,603045E-09
-1,05;4,644057E-09
-1;6,585809E-09
-0,95;9,326093E-09
-0,9;1,315179E-08
-0,85;1,850315E-08
-0,8;2,979703E-08
-0,75;4,16443E-08
-0,7;5,776522E-08
-0,65;7,965483E-08
-0,6;1,089317E-07
-0,55;1,482113E-07
-0,5;1,992963E-07
-0,45;2,632637E-07
-0,4;3,378842E-07
-0,35;4,171253E-07
-0,3;4,978705E-07
-0,25;5,799759E-07
-0,2;6,628101E-07
-0,15;7,467875E-07
-0,1;8,318295E-07
-0,05;9,180541E-07
0;1,006222E-06
0,05;1,095643E-06
0,1;1,186372E-06
0,15;1,278347E-06
0,2;1,372062E-06
0,25;1,467019E-06
0,3;1,56402E-06
0,35;1,662067E-06
0,4;1,761837E-06
0,45;1,863281E-06
0,5;1,966295E-06
0,55;2,071448E-06
0,6;2,177342E-06
0,65;2,28565E-06
0,7;2,394072E-06
0,75;2,504022E-06
0,8;2,614522E-06
0,85;2,725601E-06
0,9;2,836292E-06
0,95;2,947759E-06
1;3,057045E-06
1,05;3,167774E-06
1,1;3,276031E-06
1,15;3,383689E-06
1,2;3,489549E-06
1,25;3,594371E-06
1,3;3,698055E-06
1,35;3,799267E-06
1,4;3,89985E-06
1,45;3,998077E-06
1,5;4,095028E-06
1,55;4,190058E-06
1,6;4,285656E-06
1,65;4,376013E-06
1,7;4,468544E-06
1,75;4,556331E-06
1,8;4,643916E-06
1,85;4,729129E-06
1,9;4,812365E-06
1,95;4,894684E-06
2;4,973343E-06
2,05;5,051896E-06
2,1;5,126917E-06
2,15;5,202079E-06
2,2;5,27369E-06
2,25;5,344867E-06
2,3;5,413309E-06
2,35;5,479924E-06
2,4;5,544516E-06
2,45;5,607753E-06
2,5;5,668686E-06
2,55;5,727933E-06
2,6;5,786156E-06
2,65;5,841107E-06
2,7;5,894967E-06
2,75;5,946948E-06
2,8;5,997883E-06
2,85;6,046777E-06
2,9;6,094633E-06
2,95;6,140027E-06
3;6,18549E-06
3,05;6,228529E-06
3,1;6,270494E-06
3,15;6,311525E-06
3,2;6,350366E-06
3,25;6,388354E-06
3,3;6,424748E-06
3,35;6,460476E-06
3,4;6,494106E-06
3,45;6,527925E-06
3,5;6,558932E-06
3,55;6,591326E-06
3,6;6,621919E-06
3,65;6,650715E-06
3,7;6,68121E-06
3,75;6,70783E-06
3,8;6,737261E-06
3,85;6,762407E-06
3,9;6,790048E-06
3,95;6,814824E-06
4;6,840945E-06
4,05;6,865077E-06
4,1;6,889661E-06
4,15;6,912791E-06
4,2;6,936345E-06
4,25;6,958748E-06
4,3;6,981444E-06
4,35;7,002881E-06
4,4;7,025038E-06
4,45;7,04479E-06
4,5;7,06542E-06
4,55;7,085301E-06
4,6;7,104811E-06
4,65;7,123792E-06
4,7;7,142144E-06
4,75;7,160509E-06
4,8;7,179036E-06
4,85;7,196087E-06
4,9;7,212279E-06
4,95;7,229287E-06
5;7,245275E-06
