Tensao [V];Corrente [A]
-5;-2,33627E-09
-4,95;-2,397134E-09
-4,9;-2,384853E-09
-4,85;-2,368364E-09
-4,8;-2,357014E-09
-4,75;-2,345482E-09
-4,7;-2,330059E-09
-4,65;-2,316894E-09
-4,6;-2,298587E-09
-4,55;-2,284367E-09
-4,5;-2,273703E-09
-4,45;-2,269882E-09
-4,4;-2,256412E-09
-4,35;-2,237273E-09
-4,3;-2,224211E-09
-4,25;-2,212806E-09
-4,2;-2,200513E-09
-4,15;-2,188294E-09
-4,1;-2,178091E-09
-4,05;-2,168165E-09
-4;-2,15731E-09
-3,95;-2,144073E-09
-3,9;-2,133196E-09
-3,85;-2,12462E-09
-3,8;-2,112408E-09
-3,75;-2,101503E-09
-3,7;-2,090355E-09
-3,65;-2,079582E-09
-3,6;-2,068447E-09
-3,55;-2,0561E-09
-3,5;-2,043742E-09
-3,45;-2,034165E-09
-3,4;-2,022569E-09
-3,35;-2,00896E-09
-3,3;-2,030256E-09
-3,25;-1,998535E-09
-3,2;-1,981008E-09
-3,15;-1,96611E-09
-3,1;-1,951227E-09
-3,05;-1,936519E-09
-3;-1,922432E-09
-2,95;-1,906986E-09
-2,9;-1,890752E-09
-2,85;-1,873779E-09
-2,8;-1,857213E-09
-2,75;-1,839348E-09
-2,7;-1,821608E-09
-2,65;-1,802589E-09
-2,6;-1,782758E-09
-2,55;-1,764186E-09
-2,5;-1,743635E-09
-2,45;-1,724588E-09
-2,4;-1,70326E-09
-2,35;-1,682274E-09
-2,3;-1,658626E-09
-2,25;-1,634452E-09
-2,2;-1,611374E-09
-2,15;-1,587939E-09
-2,1;-1,564042E-09
-2,05;-1,537023E-09
-2;-1,51004E-09
-1,95;-1,483816E-09
-1,9;-1,453649E-09
-1,85;-1,421908E-09
-1,8;-1,389477E-09
-1,75;-1,350082E-09
-1,7;-1,30854E-09
-1,65;-1,250493E-09
-1,6;-1,181382E-09
-1,55;-1,093211E-09
-1,5;-9,73473E-10
-1,45;-8,107182E-10
-1,4;-5,927797E-10
-1,35;-3,055042E-10
-1,3;7,544987E-11
-1,25;5,727439E-10
-1,2;1,214782E-09
-1,15;2,042459E-09
-1,1;3,410426E-09
-1,05;4,602466E-09
-1;6,558199E-09
-0,95;9,302104E-09
-0,9;1,31291E-08
-0,85;1,847419E-08
-0,8;2,976197E-08
-0,75;4,161516E-08
-0,7;5,773463E-08
-0,65;7,957929E-08
-0,6;1,088785E-07
-0,55;1,481585E-07
-0,5;1,992289E-07
-0,45;2,631877E-07
-0,4;3,377842E-07
-0,35;4,17056E-07
-0,3;4,977243E-07
-0,25;5,798578E-07
-0,2;6,626261E-07
-0,15;7,466181E-07
-0,1;8,316402E-07
-0,05;9,17898E-07
0;1,005998E-06
0,05;1,095451E-06
0,1;1,186132E-06
0,15;1,278232E-06
0,2;1,371771E-06
0,25;1,466796E-06
0,3;1,563805E-06
0,35;1,661858E-06
0,4;1,761596E-06
0,45;1,863045E-06
0,5;1,96612E-06
0,55;2,07111E-06
0,6;2,177459E-06
0,65;2,285039E-06
0,7;2,393735E-06
0,75;2,503649E-06
0,8;2,614301E-06
0,85;2,725017E-06
0,9;2,836022E-06
0,95;2,946774E-06
1;3,057366E-06
1,05;3,167052E-06
1,1;3,275635E-06
1,15;3,38309E-06
1,2;3,489366E-06
1,25;3,593827E-06
1,3;3,697284E-06
1,35;3,798971E-06
1,4;3,898807E-06
1,45;3,997244E-06
1,5;4,094185E-06
1,55;4,189591E-06
1,6;4,283781E-06
1,65;4,376003E-06
1,7;4,466423E-06
1,75;4,555273E-06
1,8;4,642568E-06
1,85;4,728095E-06
1,9;4,811304E-06
1,95;4,892671E-06
2;4,972481E-06
2,05;5,050524E-06
2,1;5,126839E-06
2,15;5,201123E-06
2,2;5,273428E-06
2,25;5,344058E-06
2,3;5,412171E-06
2,35;5,479193E-06
2,4;5,543876E-06
2,45;5,606822E-06
2,5;5,66784E-06
2,55;5,727243E-06
2,6;5,785076E-06
2,65;5,840728E-06
2,7;5,894713E-06
2,75;5,946607E-06
2,8;5,997239E-06
2,85;6,046573E-06
2,9;6,094014E-06
2,95;6,139571E-06
3;6,184784E-06
3,05;6,227523E-06
3,1;6,269862E-06
3,15;6,3098E-06
3,2;6,349046E-06
3,25;6,387107E-06
3,3;6,423882E-06
3,35;6,458404E-06
3,4;6,493659E-06
3,45;6,526235E-06
3,5;6,558756E-06
3,55;6,589695E-06
3,6;6,620704E-06
3,65;6,650714E-06
3,7;6,679199E-06
3,75;6,707736E-06
3,8;6,735367E-06
3,85;6,76179E-06
3,9;6,788393E-06
3,95;6,814308E-06
4;6,839412E-06
4,05;6,864059E-06
4,1;6,88815E-06
4,15;6,912037E-06
4,2;6,935217E-06
4,25;6,957534E-06
4,3;6,980277E-06
4,35;7,001621E-06
4,4;7,023064E-06
4,45;7,044126E-06
4,5;7,064552E-06
4,55;7,084234E-06
4,6;7,103905E-06
4,65;7,122761E-06
4,7;7,141314E-06
4,75;7,159659E-06
4,8;7,177185E-06
4,85;7,19456E-06
4,9;7,21131E-06
4,95;7,228547E-06
5;7,245259E-06
